A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,37,38,John Brockenbrough,M,40,1415,56:10,01:27,5 / 61 / 68,04:26,5:00:42,22.35,6 / 60 / 60,03:18,3:30:35,08:02,6 / 63 / 66,9:35:11
2,42,43,SteveD. Petitt,M,40,1160,59:51,01:32,20 / 127 / 145,03:13,4:57:13,22.61,1 / 36 / 36,01:51,3:35:44,08:14,11 / 92 / 100,9:37:52
3,50,51,Steven Chavez,M,40,1465,59:33,01:32,17 / 119 / 134,03:24,5:10:28,21.64,22 / 147 / 148,02:10,3:25:53,07:51,2 / 45 / 47,9:41:28
4,57,58,Raymond Dunn,M,40,1285,56:41,01:28,7 / 74 / 83,03:58,5:00:29,22.36,5 / 57 / 57,02:31,3:41:20,08:26,19 / 132 / 146,9:44:59
5,60,61,BERND KIELE,M,40,1375,1:11:37,01:51,105 / 651 / 752,04:12,4:58:10,22.54,2 / 43 / 43,01:57,3:30:25,08:01,5 / 62 / 65,9:46:21
6,79,81,Yannick Arrossamena,M,40,1216,59:29,01:32,16 / 117 / 132,03:57,5:12:47,21.48,26 / 180 / 181,02:35,3:33:51,08:09,9 / 85 / 92,9:52:39
7,80,82,John Byrne,M,40,1288,1:07:52,01:45,71 / 460 / 533,03:13,5:04:49,22.05,13 / 86 / 86,03:28,3:33:25,08:08,8 / 82 / 88,9:52:47
8,87,89,Graham Fraser,M,40,60,1:09:13,01:47,87 / 523 / 606,03:57,5:02:42,22.2,9 / 71 / 71,03:13,3:35:20,08:13,10 / 90 / 98,9:54:25
9,92,94,Robert O'Hara,M,40,1320,1:00:33,01:34,21 / 144 / 165,05:10,5:08:49,21.76,20 / 123 / 123,01:54,3:40:30,08:24,18 / 126 / 138,9:56:56
10,99,101,Joerg Knop,M,40,1171,1:02:08,01:36,30 / 190 / 222,03:43,5:03:50,22.12,11 / 80 / 80,02:29,3:46:17,08:38,24 / 165 / 186,9:58:27
11,101,104,Reimond Heep,M,40,1450,1:07:57,01:45,73 / 466 / 542,03:34,5:04:56,22.04,14 / 87 / 87,04:17,3:38:32,08:20,14 / 112 / 120,9:59:16
12,102,105,PETER HOLENWEG,M,40,1438,1:06:52,01:43,56 / 373 / 439,05:40,5:07:30,21.85,18 / 112 / 112,03:36,3:35:51,08:14,12 / 93 / 101,9:59:29
13,110,115,Bernard Vaucher,M,40,1342,1:09:32,01:48,90 / 536 / 620,04:49,5:14:46,21.35,34 / 214 / 216,03:05,3:29:52,08:00,3 / 58 / 61,10:02:04
14,119,126,MICHAEL CAIN,M,40,1361,1:02:41,01:37,35 / 207 / 243,05:46,5:21:34,20.9,52 / 314 / 322,04:22,3:30:15,08:01,4 / 61 / 64,10:04:38
15,122,129,LarsP. Svanberg,M,40,1169,58:13,01:30,11 / 87 / 99,02:48,5:01:18,22.3,7 / 63 / 63,02:23,4:00:41,09:11,55 / 293 / 332,10:05:23
16,130,137,KEVIN JOLLIFFE,M,40,1432,1:08:08,01:45,75 / 477 / 557,04:52,5:01:31,22.29,8 / 64 / 64,02:24,3:51:13,08:49,36 / 211 / 238,10:08:08
17,135,142,Tony Schiller,M,40,1387,59:10,01:31,15 / 114 / 128,04:44,5:20:55,20.94,50 / 305 / 313,03:41,3:40:28,08:24,17 / 125 / 137,10:08:58
18,139,147,MICHAEL DAVIS,M,40,1457,1:16:30,01:58,152 / 868 / 1022,05:00,5:14:36,21.36,33 / 209 / 211,02:57,3:30:46,08:02,7 / 66 / 69,10:09:49
19,140,148,Gerardo Madrazo,M,40,1352,1:10:09,01:48,94 / 574 / 662,04:21,5:00:28,22.37,3 / 55 / 55,04:05,3:51:10,08:49,35 / 210 / 237,10:10:13
20,141,149,Mark Barnett,M,40,1299,1:06:46,01:43,55 / 366 / 428,04:47,5:17:33,21.16,41 / 251 / 254,03:08,3:38:48,08:21,15 / 114 / 123,10:11:02
