A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,12,12,URBAN SCHUMACHER,M,40,1099,56:52,01:28,2 / 49 / 58,03:00,4:42:33,23.78,1 / 13 / 13,02:46,3:10:10,07:15,1 / 19 / 19,00:00
2,25,25,GREG DONOVAN,M,40,1170,1:03:22,01:38,29 / 216 / 251,03:14,4:49:48,23.19,2 / 26 / 26,03:39,3:11:08,07:17,2 / 21 / 21,00:00
3,31,31,WOLFGANG SCHMATZ,M,40,1171,1:01:37,01:35,15 / 162 / 187,03:13,4:54:34,22.81,7 / 56 / 56,02:30,3:13:38,07:23,4 / 29 / 31,04:00
4,49,50,John Trible,M,40,1139,1:06:26,01:43,55 / 330 / 387,04:00,5:00:01,22.4,13 / 103 / 103,02:31,3:11:46,07:19,3 / 24 / 24,04:00
5,58,60,Joseph Foster,M,40,1299,1:07:16,01:44,60 / 368 / 431,04:40,4:51:24,23.06,3 / 34 / 34,02:50,3:28:55,07:58,11 / 89 / 94,00:00
6,64,66,MICHAEL DEMSKI,M,40,1226,1:05:30,01:41,50 / 301 / 349,04:29,5:04:24,22.08,24 / 160 / 161,03:15,3:20:02,07:38,5 / 46 / 49,00:00
7,75,77,DANIEL DENOOZ,M,40,1169,1:01:59,01:36,16 / 173 / 203,04:03,4:54:17,22.84,6 / 53 / 53,02:59,3:38:35,08:20,28 / 157 / 170,00:00
8,79,82,Martin Stiegmann,M,40,1248,1:07:22,01:44,62 / 375 / 438,04:30,4:59:36,22.43,12 / 97 / 97,03:55,3:27:21,07:54,8 / 75 / 80,00:00
9,85,88,David Rowland,M,40,1203,1:03:25,01:38,30 / 218 / 254,06:02,5:02:04,22.25,16 / 123 / 123,03:51,3:29:31,07:59,13 / 94 / 99,00:00
10,88,91,HERMAN WAAL,M,40,1148,1:03:16,01:38,28 / 212 / 247,05:29,5:03:55,22.11,21 / 154 / 155,03:14,3:29:28,07:59,12 / 92 / 97,00:00
11,89,92,MATTHIAS JANNING,M,40,1159,1:05:22,01:41,47 / 291 / 339,04:31,5:04:21,22.08,23 / 159 / 160,03:52,3:28:02,07:56,9 / 81 / 86,00:00
12,91,95,PATRICK CAMPBELL,M,40,1329,1:09:46,01:48,92 / 513 / 597,04:47,5:04:09,22.09,22 / 158 / 159,03:47,3:24:33,07:48,7 / 61 / 66,00:00
13,93,98,EDWARD TOOLE,M,40,1410,1:05:28,01:41,48 / 296 / 344,04:45,4:53:32,22.89,5 / 48 / 48,03:57,3:40:33,08:25,31 / 170 / 186,00:00
14,95,100,Edmund Lenny,M,40,1237,1:03:08,01:38,26 / 204 / 239,04:06,5:02:08,22.24,17 / 124 / 124,04:24,3:34:48,08:11,19 / 135 / 147,00:00
15,102,107,Philip Weatherill,M,40,1131,1:11:44,01:51,124 / 637 / 736,05:04,4:55:47,22.72,8 / 68 / 68,03:17,3:34:11,08:10,17 / 129 / 140,00:00
16,124,131,ERWIN VERBELEN,M,40,1230,1:05:29,01:41,49 / 298 / 346,05:06,5:05:28,22,32 / 179 / 180,04:07,3:34:32,08:11,18 / 133 / 145,00:00
17,131,138,Steven Anderson,M,40,1219,1:08:57,01:47,76 / 456 / 527,04:35,5:10:59,21.61,39 / 247 / 253,03:09,3:28:13,07:56,10 / 84 / 89,00:00
18,134,141,Geoff Cleveland,M,40,1271,51:14,01:19,1 / 8 / 10,03:01,5:06:23,21.93,33 / 188 / 189,02:56,3:52:35,08:52,56 / 272 / 303,00:00
19,136,145,Robert Karalis,M,40,1399,58:46,01:31,5 / 78 / 88,04:09,5:15:49,21.28,56 / 320 / 335,04:43,3:33:30,08:08,16 / 126 / 137,00:00
20,141,150,Timothy Brennan,M,40,1140,1:03:08,01:38,27 / 204 / 239,05:05,4:59:25,22.44,11 / 93 / 93,03:36,3:46:34,08:38,46 / 228 / 251,00:00
21,145,154,ROBERT SPINA JR,M,40,1143,1:04:06,01:39,34 / 236 / 274,04:08,5:04:53,22.04,28 / 174 / 175,04:11,3:40:55,08:25,33 / 173 / 189,00:00
22,146,155,PIERO ANGIOLILLO,M,40,1302,1:07:39,01:45,67 / 390 / 454,03:58,4:58:24,22.52,10 / 87 / 87,02:38,3:41:57,08:28,36 / 182 / 199,04:00
23,157,168,GREG SPINDLER,M,40,1259,1:03:05,01:38,25 / 203 / 238,03:59,5:04:37,22.06,27 / 169 / 170,03:34,3:45:55,08:37,43 / 221 / 243,00:00
24,160,172,Casey Fannin,M,40,1307,1:00:46,01:34,9 / 122 / 140,03:35,5:14:37,21.36,48 / 299 / 312,02:16,3:40:33,08:25,32 / 170 / 186,00:00
25,161,174,Mark Klion,M,40,1206,1:05:45,01:42,51 / 310 / 361,04:33,5:06:24,21.93,34 / 189 / 190,02:37,3:42:48,08:30,37 / 187 / 206,00:00
26,167,180,RALF AUSTINAT,M,40,1364,1:06:44,01:43,57 / 340 / 397,04:06,5:10:57,21.61,38 / 244 / 250,04:12,3:37:46,08:18,27 / 153 / 166,00:00
27,174,187,Barry Dmitruk,M,40,1348,1:09:32,01:48,85 / 490 / 566,04:18,5:04:36,22.06,25 / 167 / 168,04:15,3:41:31,08:27,35 / 178 / 194,00:00
28,175,188,Michael Fisch,M,40,1205,1:10:26,01:49,109 / 569 / 658,05:59,5:10:01,21.68,37 / 231 / 234,02:25,3:35:31,08:13,20 / 143 / 155,00:00
29,192,207,Philip Bergman,M,40,1417,1:10:33,01:49,111 / 576 / 665,06:36,5:03:49,22.12,20 / 152 / 153,04:14,3:43:46,08:32,40 / 192 / 212,00:00
30,196,211,GUY JACOBS,M,40,1114,1:04:51,01:40,38 / 253 / 295,04:21,5:00:57,22.33,14 / 112 / 112,03:49,3:56:02,09:00,64 / 292 / 331,00:00
31,197,212,Ward Moya,M,40,1128,1:10:02,01:48,99 / 543 / 628,05:16,4:53:06,22.93,4 / 45 / 45,02:35,3:59:17,09:07,72 / 324 / 374,00:00
32,202,217,LUCA VECCHI,M,40,1278,1:08:15,01:46,71 / 422 / 488,04:57,5:05:11,22.02,30 / 177 / 178,02:29,3:49:54,08:46,51 / 257 / 282,00:00
33,203,218,Bruce Schalk,M,40,1181,59:31,01:32,6 / 89 / 102,04:12,5:16:00,21.27,57 / 322 / 337,03:14,3:47:53,08:41,47 / 233 / 257,00:00
34,204,219,Mark Corley,M,40,1287,1:03:53,01:39,33 / 232 / 270,05:16,5:15:40,21.29,54 / 315 / 330,03:19,3:43:03,08:30,38 / 190 / 209,00:00
35,206,221,Joseph Ross,M,40,1193,1:02:07,01:36,18 / 181 / 211,05:02,4:58:19,22.53,9 / 85 / 85,03:38,3:59:07,09:07,71 / 323 / 373,04:00
36,207,222,JOHN ROHDE,M,40,1416,1:06:09,01:42,53 / 320 / 377,04:52,5:21:16,20.92,71 / 392 / 416,02:43,3:37:24,08:17,26 / 152 / 164,00:00
