A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,36,37,Michael Krueger,M,40,37,1:03:14,01:38,52 / 289 / 340,03:32,4:57:56,22.56,7 / 47 / 47,01:51,3:13:59,07:24,2 / 31 / 34,9:24:30
2,38,39,MARK PRINZEL,M,40,39,1:07:00,01:44,97 / 485 / 559,04:20,4:58:19,22.53,8 / 51 / 51,02:45,3:13:39,07:23,1 / 28 / 31,9:26:01
3,40,41,Steven Kester,M,40,41,56:48,01:28,9 / 76 / 87,04:36,4:57:24,22.6,6 / 35 / 35,02:31,3:25:18,07:50,7 / 57 / 63,9:26:35
4,50,52,Richard Nixon,M,40,52,58:10,01:30,15 / 115 / 130,03:37,4:56:54,22.63,5 / 32 / 32,01:46,3:28:31,07:57,10 / 72 / 78,9:32:55
5,51,54,Daniel Labarca,M,40,54,1:03:32,01:38,54 / 306 / 358,04:07,5:06:31,21.92,25 / 155 / 158,04:19,3:16:36,07:30,4 / 39 / 42,9:35:02
6,54,58,DANIEL BANVILLE,M,40,58,1:00:17,01:33,27 / 166 / 189,03:55,5:13:55,21.41,47 / 243 / 253,03:40,3:15:15,07:27,3 / 33 / 36,9:37:00
7,59,64,ROB GEMERCHAK,M,40,64,1:02:22,01:36,38 / 247 / 290,05:04,4:52:22,22.98,1 / 14 / 14,03:19,3:23:21,07:45,5 / 54 / 58,9:38:27
8,61,66,Gregg Slayton,M,40,66,56:19,01:27,6 / 62 / 71,03:21,5:01:46,22.27,15 / 103 / 103,03:17,3:34:49,08:11,16 / 109 / 119,9:39:31
9,67,72,CARLO LEY,M,40,72,59:04,01:31,22 / 143 / 165,03:24,4:56:25,22.67,4 / 28 / 28,02:08,3:28:19,07:57,9 / 71 / 77,9:41:18
10,86,93,Geoff Cleveland,M,40,93,50:26,01:18,1 / 12 / 14,02:55,5:15:47,21.28,50 / 274 / 285,03:40,3:34:18,08:10,14 / 103 / 113,9:47:04
11,88,95,DAVID GERST,M,40,95,1:05:50,01:42,84 / 428 / 494,04:34,5:09:51,21.69,32 / 183 / 187,03:03,3:23:52,07:46,6 / 56 / 60,9:47:08
12,91,98,MICHAEL GRUBER,M,40,98,1:10:07,01:48,142 / 663 / 787,04:53,4:56:06,22.69,3 / 27 / 27,02:48,3:35:10,08:12,18 / 113 / 123,9:49:01
13,99,107,CHRISTOPHER CASWELL,M,40,107,58:38,01:31,19 / 130 / 149,04:39,5:06:49,21.9,26 / 156 / 159,03:23,3:36:34,08:15,19 / 123 / 136,9:50:01
14,107,117,DOMINIQUE LAMORGESE,M,40,117,1:04:16,01:39,58 / 346 / 406,04:51,5:09:30,21.71,31 / 181 / 185,02:28,3:33:05,08:07,13 / 96 / 106,9:54:08
15,115,125,Pieter-jan Paarlberg,M,40,125,1:02:38,01:37,44 / 262 / 306,04:49,4:59:12,22.46,9 / 63 / 63,03:41,3:46:37,08:38,33 / 196 / 224,9:56:55
16,117,127,David Green,M,40,126,1:02:25,01:36,39 / 251 / 295,04:23,5:01:17,22.3,14 / 98 / 98,03:37,3:45:35,08:36,29 / 185 / 212,9:57:15
17,122,132,SCOTT GOWER,M,40,132,55:28,01:26,4 / 51 / 60,03:22,5:01:06,22.32,12 / 95 / 95,02:48,3:55:31,08:59,59 / 277 / 324,9:58:14
18,135,146,Andy Meyer,M,40,146,1:00:44,01:34,29 / 177 / 203,06:01,5:00:35,22.36,10 / 87 / 87,04:30,3:46:02,08:37,31 / 190 / 217,10:01:51
19,146,159,David Phillips,M,40,159,52:58,01:22,2 / 18 / 21,03:36,5:00:39,22.35,11 / 89 / 89,02:18,4:04:55,09:20,85 / 393 / 469,10:04:25
20,155,169,JOE FOSTER,M,40,169,1:09:38,01:48,135 / 629 / 749,06:46,5:17:06,21.19,53 / 292 / 305,03:46,3:30:05,08:01,11 / 84 / 91,10:07:19
21,158,172,Dirk Bartels,M,40,172,1:08:41,01:46,122 / 576 / 680,03:52,5:11:14,21.59,35 / 200 / 206,03:57,3:39:55,08:23,24 / 153 / 174,10:07:38
22,163,178,Kevin Neal,M,40,178,1:02:34,01:37,43 / 258 / 302,05:21,5:05:01,22.03,22 / 139 / 140,04:26,3:47:58,08:42,37 / 207 / 235,10:09:19
23,164,179,GERARD TERWISSCHA,M,40,179,1:07:21,01:44,101 / 496 / 576,06:05,5:11:59,21.54,37 / 209 / 217,03:55,3:40:04,08:23,25 / 155 / 176,10:09:21
24,176,192,Todd Brown,M,40,192,1:05:46,01:42,82 / 421 / 487,06:26,5:20:36,20.96,61 / 340 / 360,04:44,3:35:07,08:12,17 / 111 / 121,10:12:38
25,177,193,MICHAEL TUCKER,M,40,193,1:02:34,01:37,42 / 258 / 302,04:56,5:07:35,21.85,27 / 162 / 165,04:09,3:53:32,08:54,51 / 256 / 297,10:12:45
26,179,195,Randy Grimes,M,40,195,55:57,01:26,5 / 58 / 67,05:11,5:19:30,21.03,57 / 324 / 340,04:22,3:48:09,08:42,38 / 209 / 237,10:13:08
27,182,198,PIETER LEEZENBERG,M,40,198,1:02:28,01:37,40 / 254 / 298,07:46,5:03:09,22.17,16 / 118 / 118,04:52,3:55:25,08:59,58 / 276 / 323,10:13:37
28,183,199,JOHN CROTTY,M,40,199,1:03:10,01:38,50 / 284 / 334,05:52,5:26:29,20.58,82 / 451 / 487,04:06,3:34:20,08:10,15 / 104 / 114,10:13:54
29,190,207,Luc Girard,M,40,207,1:05:14,01:41,78 / 398 / 462,04:35,5:12:51,21.48,39 / 223 / 232,02:33,3:49:58,08:46,41 / 221 / 257,10:15:09
30,192,211,TODD PRESTON,M,40,211,1:12:27,01:52,165 / 780 / 930,06:03,5:03:31,22.14,17 / 124 / 124,03:35,3:51:38,08:50,46 / 238 / 278,10:17:11
31,193,213,JEAN DUPONT,M,40,213,1:12:13,01:52,161 / 768 / 914,05:57,5:11:32,21.57,36 / 203 / 211,03:07,3:44:45,08:34,27 / 181 / 208,10:17:31
32,194,214,Hessel Kruijer,M,40,214,1:05:37,01:41,81 / 413 / 478,04:34,5:10:34,21.64,33 / 194 / 199,04:35,3:52:29,08:52,49 / 251 / 291,10:17:47
33,195,215,PHILIP WEATHERILL,M,40,215,1:07:52,01:45,110 / 533 / 620,05:39,5:01:09,22.31,13 / 96 / 96,04:14,3:55:08,08:58,57 / 275 / 321,10:18:00
34,197,217,MARK PICKENS,M,40,217,1:03:22,01:38,53 / 297 / 349,05:16,5:20:15,20.98,59 / 335 / 352,02:57,3:46:18,08:38,32 / 191 / 219,10:18:06
35,201,221,ANDRE HAAS,M,40,221,1:06:40,01:43,92 / 468 / 541,05:04,5:08:50,21.76,29 / 176 / 179,03:59,3:54:24,08:56,52 / 265 / 309,10:18:56
36,204,224,ROBERT BOONE,M,40,224,56:44,01:28,8 / 72 / 82,07:10,5:09:01,21.75,30 / 178 / 181,06:21,4:00:14,09:10,70 / 353 / 409,10:19:27
37,210,231,Rob Kohnen,M,40,231,1:05:31,01:41,79 / 405 / 470,05:11,5:13:19,21.45,43 / 234 / 243,02:18,3:54:52,08:57,55 / 270 / 315,10:21:09
38,212,233,MARTIN IRVING,M,40,233,1:04:38,01:40,70 / 372 / 434,07:24,5:26:19,20.59,80 / 447 / 483,03:56,3:39:15,08:22,23 / 148 / 166,10:21:30
39,213,234,BRET ROSANE,M,40,234,1:09:40,01:48,136 / 635 / 755,05:29,5:13:08,21.46,42 / 230 / 239,04:19,3:45:43,08:36,30 / 186 / 213,10:22:17
40,214,236,CHRISTOPHER BUSTAMENTE,M,40,236,1:06:36,01:43,89 / 464 / 537,07:02,5:26:47,20.56,84 / 460 / 497,05:41,3:36:49,08:16,20 / 126 / 140,10:22:54
41,217,241,DAN REES,M,40,241,1:11:52,01:51,156 / 747 / 886,06:40,5:32:09,20.23,107 / 549 / 599,05:00,3:27:52,07:56,8 / 68 / 74,10:23:31
42,221,245,Lou Toto,M,40,245,1:06:38,01:43,90 / 465 / 538,06:15,5:08:30,21.78,28 / 173 / 176,03:44,3:59:08,09:07,67 / 339 / 390,10:24:12
43,225,250,Jamie Maguire,M,40,250,1:06:49,01:43,93 / 476 / 549,05:15,4:55:06,22.77,2 / 22 / 22,02:55,4:11:10,09:35,102 / 460 / 548,10:25:13
44,232,258,Katsumi Shiji,M,40,258,1:09:19,01:47,130 / 607 / 721,05:51,5:28:59,20.43,95 / 498 / 540,03:19,3:39:15,08:22,22 / 148 / 166,10:26:41
45,240,269,Steven Anderson,M,40,269,1:05:48,01:42,83 / 423 / 489,04:39,5:21:49,20.88,69 / 373 / 397,03:21,3:52:20,08:52,48 / 248 / 288,10:27:56
46,244,274,DANIEL CHAMPAGNE,M,40,274,1:04:56,01:40,72 / 383 / 447,04:43,5:03:38,22.13,18 / 127 / 127,03:45,4:11:49,09:36,105 / 468 / 558,10:28:48
