A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,29,32,Dave Ference,M,44,2917,55:58,01:26,3 / 23 / 29,04:29,5:02:41,22.2,9 / 64 / 67,02:36,3:18:55,07:35,1 / 42 / 49,9:24:36
2,35,39,Tony Cianciola,M,41,1699,57:28,01:29,5 / 40 / 50,05:21,5:04:20,22.08,12 / 73 / 78,03:05,3:21:30,07:41,4 / 53 / 60,9:31:42
3,51,59,Chris Rulon,M,44,2057,1:03:28,01:38,30 / 185 / 220,07:08,5:08:26,21.79,16 / 100 / 106,02:10,3:22:24,07:43,6 / 57 / 64,9:43:34
4,53,61,Iain Hindes,M,42,1826,55:19,01:25,2 / 19 / 24,03:57,5:01:40,22.28,7 / 57 / 60,02:43,3:40:26,08:24,30 / 133 / 151,9:44:03
5,56,64,David Shearon,M,41,1769,1:03:24,01:38,29 / 177 / 212,06:06,5:11:01,21.61,20 / 110 / 118,03:33,3:21:30,07:41,5 / 53 / 60,9:45:31
6,59,67,Rene Frolund,M,41,2903,1:04:58,01:40,46 / 240 / 289,05:28,4:59:41,22.42,6 / 51 / 53,02:20,3:33:58,08:10,18 / 100 / 114,9:46:22
7,60,68,Joseph Vallese,M,41,1779,1:05:03,01:41,47 / 244 / 293,05:37,4:49:30,23.21,1 / 21 / 21,02:35,3:44:35,08:34,42 / 161 / 184,9:47:17
8,63,71,Dominic Paul,M,40,1643,58:43,01:31,10 / 63 / 77,05:54,5:12:39,21.49,23 / 118 / 127,03:03,3:28:07,07:56,11 / 77 / 85,9:48:24
9,70,78,Dan Payton,M,40,1644,1:08:21,01:46,98 / 434 / 513,07:54,4:53:19,22.91,3 / 27 / 27,04:45,3:37:10,08:17,25 / 117 / 134,9:51:27
10,71,79,Bernard Alix,M,42,1787,1:07:25,01:44,84 / 372 / 443,04:22,4:58:08,22.54,4 / 40 / 42,03:06,3:39:12,08:21,28 / 129 / 146,9:52:10
