A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,26,26,Peter Russo,M,40,1238,56:19,01:27,4 / 34 / 37,06:13,4:51:02,23.09,1 / 16 / 16,03:33,3:24:24,07:48,12 / 64 / 72,9:21:31
2,34,34,Steve Kester,M,40,1363,56:41,01:28,5 / 36 / 39,05:14,5:07:52,21.83,18 / 86 / 87,02:01,3:13:41,07:23,1 / 33 / 35,9:25:29
3,37,38,Roger Berggren,M,40,1349,1:08:08,01:45,84 / 360 / 430,05:41,4:56:25,22.67,2 / 31 / 31,02:26,3:17:23,07:32,4 / 43 / 46,9:30:03
4,45,46,HOLGER POHLENZ,M,40,1088,1:04:42,01:40,49 / 210 / 251,06:25,5:02:05,22.25,10 / 52 / 53,06:56,3:15:21,07:27,3 / 41 / 43,9:35:29
5,52,53,Richard Nixon,M,40,1279,1:01:24,01:35,19 / 106 / 122,04:37,5:01:51,22.26,8 / 50 / 51,01:51,3:27:42,07:55,16 / 83 / 95,9:37:25
6,55,56,Michele Mueller,M,40,1150,1:01:31,01:35,20 / 109 / 125,03:33,4:57:26,22.59,3 / 34 / 34,02:50,3:32:31,08:06,22 / 110 / 124,9:37:51
7,60,61,MATTHIAS JANNING,M,40,1412,1:03:51,01:39,41 / 179 / 211,04:49,5:06:04,21.96,16 / 77 / 78,02:55,3:22:19,07:43,7 / 57 / 64,9:39:58
8,63,66,ERIK GRIMM,M,40,1237,56:17,01:27,3 / 33 / 36,04:27,5:12:58,21.47,25 / 123 / 125,03:19,3:24:03,07:47,10 / 62 / 70,9:41:04
9,65,68,GERD SCHELLER,M,40,1300,1:11:14,01:50,116 / 486 / 582,04:54,4:59:13,22.46,6 / 43 / 44,02:09,3:23:58,07:47,9 / 61 / 69,9:41:28
10,68,73,WERNER COLLENBERG,M,40,1171,1:12:44,01:52,152 / 590 / 709,05:08,5:10:30,21.64,21 / 104 / 105,02:16,3:13:51,07:23,2 / 35 / 37,9:44:29
11,76,82,RUDI VAN AELST,M,40,1253,1:05:26,01:41,59 / 234 / 280,06:29,5:10:36,21.64,22 / 107 / 108,03:21,3:22:59,07:44,8 / 58 / 65,9:48:51
12,79,85,Steven Bentley,M,40,1095,1:05:28,01:41,60 / 236 / 282,04:02,5:04:19,22.08,12 / 64 / 65,02:53,3:34:01,08:10,25 / 115 / 129,9:50:43
13,80,86,Jim Sunners,M,40,1361,1:03:44,01:39,39 / 173 / 204,03:39,5:02:02,22.25,9 / 51 / 52,03:03,3:38:38,08:20,34 / 150 / 171,9:51:06
14,81,87,THORSTEN FRITZ,M,40,1392,1:05:09,01:41,54 / 223 / 266,05:05,5:04:09,22.09,11 / 63 / 64,03:04,3:35:33,08:13,27 / 131 / 148,9:53:00
15,82,88,Peter Baettig,M,40,1479,1:05:35,01:41,62 / 243 / 290,06:42,5:07:50,21.83,17 / 85 / 86,05:50,3:28:16,07:56,17 / 89 / 102,9:54:13
16,86,92,GUNNAR LANGENBRUCH,M,40,1256,1:09:27,01:47,102 / 421 / 500,04:35,5:14:03,21.4,26 / 128 / 131,02:09,3:24:33,07:48,13 / 65 / 73,9:54:47
17,87,93,MATTHEW PERKINS,M,40,1164,1:09:07,01:47,97 / 409 / 488,06:12,5:17:08,21.19,32 / 152 / 158,03:52,3:18:50,07:35,5 / 45 / 51,9:55:09
18,90,97,UWE STREICH,M,40,1244,56:10,01:27,2 / 29 / 32,04:00,5:14:20,21.38,27 / 129 / 132,04:47,3:38:02,08:19,33 / 147 / 168,9:57:19
19,93,100,Ken Walters,M,40,1314,1:07:08,01:44,75 / 318 / 379,05:38,5:15:45,21.28,30 / 137 / 141,03:04,3:26:37,07:53,14 / 72 / 84,9:58:12
20,96,104,Paul Mitchell,M,40,1105,1:13:30,01:54,170 / 649 / 784,06:36,5:10:21,21.65,20 / 102 / 103,02:20,3:26:42,07:53,15 / 73 / 85,9:59:29
21,104,115,ANDREAS JACOBSEN,M,40,1163,1:05:56,01:42,65 / 259 / 312,04:45,5:17:47,21.15,34 / 161 / 167,03:30,3:31:31,08:04,20 / 104 / 118,10:03:29
22,107,118,David Jones,M,40,1302,1:09:08,01:47,98 / 410 / 489,06:50,5:09:08,21.74,19 / 92 / 93,03:26,3:36:53,08:16,28 / 138 / 158,10:05:25
23,110,121,JOHN HOLLINGER,M,40,1278,1:02:16,01:36,24 / 129 / 152,05:16,5:23:37,20.77,48 / 214 / 227,03:49,3:31:39,08:04,21 / 105 / 119,10:06:37
