A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,18,18,JeffB. Cuddeback,M,40,1473,56:51,01:28,2 / 22 / 25,02:49,4:57:17,22.6,2 / 24 / 24,03:15,3:11:50,07:19,1 / 19 / 20,9:12:02
2,31,31,David Lyon,M,40,1207,1:10:04,01:48,61 / 357 / 441,05:53,4:46:38,23.44,1 / 8 / 8,03:06,3:25:49,07:51,5 / 48 / 54,9:31:30
3,41,44,RoboertA. Roller,M,40,1438,55:26,01:26,1 / 15 / 18,04:16,5:06:51,21.9,8 / 79 / 79,01:57,3:36:18,08:15,16 / 102 / 114,9:44:48
4,43,46,David Bowman,M,40,1384,1:01:18,01:35,10 / 74 / 92,02:45,5:09:17,21.73,10 / 102 / 104,02:53,3:29:43,08:00,9 / 62 / 68,9:45:56
5,45,48,Eric Simpson,M,40,1306,1:01:54,01:36,13 / 83 / 102,03:16,5:03:43,22.13,3 / 49 / 49,03:13,3:34:34,08:11,15 / 93 / 103,9:46:40
6,71,78,Richard Brokaw,M,40,1316,1:08:47,01:46,46 / 259 / 328,05:33,5:14:00,21.4,25 / 174 / 183,03:43,3:22:00,07:42,2 / 37 / 40,9:54:03
7,97,106,Pierre Blanchet,M,40,1303,1:03:31,01:38,21 / 132 / 164,04:19,5:14:19,21.38,27 / 181 / 190,03:19,3:37:09,08:17,19 / 108 / 120,10:02:37
8,98,107,Gregg Slayton,M,40,1170,59:12,01:31,5 / 42 / 55,03:41,5:10:33,21.64,15 / 123 / 128,03:01,3:46:15,08:38,35 / 167 / 188,10:02:42
9,103,112,Katsumi Shiji,M,40,1322,1:13:13,01:53,94 / 498 / 606,04:07,5:20:17,20.98,47 / 262 / 275,02:44,3:24:44,07:48,4 / 45 / 50,10:05:05
10,107,116,David Stubbs,M,40,1353,1:21:09,02:06,174 / 865 / 1056,05:05,5:10:21,21.65,14 / 120 / 124,03:05,3:27:36,07:55,6 / 52 / 58,10:07:16
11,112,122,Gino GALLOO,M,40,1350,1:10:12,01:49,64 / 363 / 451,05:50,5:20:42,20.95,50 / 266 / 280,03:45,3:28:15,07:56,8 / 56 / 62,10:08:44
12,113,123,Hitoshi Ueda,M,40,1219,1:04:51,01:40,28 / 157 / 196,03:41,5:20:24,20.97,48 / 263 / 277,03:13,3:36:48,08:16,18 / 106 / 118,10:08:57
13,116,126,Carl Bonner,M,40,1186,1:09:09,01:47,50 / 292 / 365,07:15,5:21:26,20.91,52 / 274 / 289,03:42,3:28:03,07:56,7 / 54 / 60,10:09:35
14,120,130,Manfred Zaisberger,M,40,1245,1:08:47,01:46,47 / 259 / 328,03:50,5:13:02,21.47,23 / 161 / 169,03:04,3:43:00,08:30,30 / 149 / 166,10:11:43
