A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,34,34,Michael Krueger,M,41,1137,1:03:56,01:39,35 / 206 / 241,02:41,4:54:27,22.82,1 / 21 / 21,01:48,3:24:27,07:48,3 / 49 / 52,9:27:19
2,38,38,Manuel Barreiro,M,40,77,56:12,01:27,4 / 40 / 44,02:26,4:58:30,22.51,7 / 50 / 50,02:44,3:29:01,07:58,5 / 60 / 65,9:28:53
3,55,57,Russell O' Malley,M,44,1648,58:15,01:30,8 / 80 / 88,04:49,5:12:42,21.49,31 / 184 / 192,03:44,3:22:49,07:44,2 / 42 / 44,9:42:19
4,61,63,Rob Chance,M,43,1323,55:29,01:26,3 / 31 / 35,03:35,5:12:27,21.51,28 / 176 / 183,03:08,3:29:50,08:00,6 / 66 / 71,9:44:29
5,68,71,John Trible,M,40,1244,1:06:13,01:42,57 / 315 / 372,05:12,5:06:01,21.96,20 / 112 / 113,04:05,3:27:48,07:55,4 / 57 / 62,9:49:19
6,74,78,Bruce Spencer,M,40,1067,58:44,01:31,13 / 102 / 113,03:06,5:04:12,22.09,17 / 99 / 99,02:59,3:42:14,08:28,22 / 121 / 134,9:51:15
7,81,85,Katsumi Shiji,M,44,1443,1:10:53,01:50,113 / 568 / 674,04:17,5:01:13,22.31,9 / 70 / 70,02:26,3:34:56,08:12,7 / 83 / 90,9:53:45
8,82,86,Jamie Maguire,M,44,1413,1:07:36,01:45,77 / 392 / 468,04:26,4:58:23,22.52,6 / 49 / 49,03:08,3:40:32,08:25,17 / 111 / 122,9:54:05
10,86,90,Chris Haas,M,40,888,1:04:17,01:39,39 / 225 / 263,04:54,4:56:23,22.67,3 / 37 / 37,07:27,3:41:12,08:26,20 / 115 / 127,9:54:13
9,85,89,ROBERT BOONE,M,40,1395,58:28,01:30,10 / 87 / 97,04:19,5:02:22,22.22,12 / 81 / 81,04:03,3:45:01,08:35,26 / 135 / 151,9:54:13
11,89,94,Rick Cote,M,41,1128,1:00:33,01:34,20 / 128 / 145,02:45,5:13:13,21.45,33 / 187 / 197,02:10,3:36:24,08:15,10 / 92 / 99,9:55:05
12,94,99,Marty Stiegmann,M,44,1355,1:04:02,01:39,36 / 210 / 246,04:09,5:04:56,22.04,18 / 105 / 105,04:00,3:39:10,08:21,14 / 105 / 116,9:56:17
13,98,104,Manfred Zaisberger,M,42,1271,1:06:56,01:43,65 / 347 / 409,04:03,5:02:08,22.24,11 / 79 / 79,03:46,3:40:31,08:25,16 / 110 / 121,9:57:24
14,99,105,Steve Patterson,M,43,1285,1:07:08,01:44,70 / 364 / 432,04:38,5:03:14,22.16,14 / 86 / 86,02:18,3:40:48,08:25,18 / 113 / 124,9:58:06
15,102,108,Michael Beuerle,M,44,1450,1:07:48,01:45,80 / 398 / 477,04:36,5:08:06,21.81,21 / 133 / 135,02:13,3:35:48,08:14,9 / 89 / 96,9:58:31
16,103,110,Thorsten Fritz,M,40,1239,1:07:52,01:45,82 / 403 / 483,03:59,5:03:08,22.17,13 / 85 / 85,03:00,3:40:53,08:25,19 / 114 / 125,9:58:52
17,108,115,Michael Tucker,M,40,1371,1:03:48,01:39,33 / 203 / 236,03:16,5:11:14,21.59,27 / 167 / 174,03:37,3:37:43,08:18,13 / 100 / 110,9:59:38
