A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,22,23,BRUNO GIOVANOLI,M,40,1135,55:34,01:26,6 / 54 / 61,03:44,4:46:14,23.48,3 / 29 / 29,04:42,3:10:30,07:16,1 / 28 / 30,9:00:44
2,41,43,EMMANUEL AUGER,M,40,1051,59:40,01:32,19 / 116 / 137,03:09,4:46:06,23.49,2 / 27 / 27,01:21,3:22:44,07:44,9 / 70 / 75,9:13:00
3,45,48,Richard Nixon,M,40,1234,59:21,01:32,17 / 109 / 130,04:19,4:56:11,22.69,11 / 92 / 93,02:53,3:14:13,07:24,4 / 37 / 40,9:16:57
4,46,49,GREG SHEEHAN,M,40,1185,1:05:37,01:41,76 / 332 / 401,04:43,4:54:28,22.82,9 / 76 / 77,02:10,3:10:36,07:16,2 / 29 / 31,9:17:34
5,48,52,ULRICH HEYDEMANN,M,40,1220,57:06,01:28,10 / 71 / 81,03:58,4:59:01,22.47,18 / 116 / 117,02:16,3:16:04,07:29,6 / 42 / 45,9:18:25
6,54,58,Scott Duprex,M,40,1012,55:31,01:26,5 / 50 / 57,03:02,4:47:21,23.39,4 / 32 / 32,03:25,3:32:32,08:06,22 / 131 / 143,9:21:51
7,56,60,ANDRE BERKER,M,40,1141,58:27,01:30,13 / 97 / 113,05:28,4:56:35,22.66,13 / 95 / 96,03:06,3:19:47,07:37,7 / 53 / 56,9:23:23
8,58,62,Shawn Burke,M,40,1231,56:06,01:27,8 / 60 / 69,04:01,4:52:10,23,7 / 62 / 63,03:20,3:28:23,07:57,15 / 106 / 115,9:24:00
9,70,75,JOERG PANTER,M,40,1217,1:06:16,01:42,85 / 361 / 437,04:33,5:00:09,22.39,20 / 128 / 130,03:21,3:15:25,07:27,5 / 41 / 44,9:29:44
10,76,81,ANDREA TOSCANI,M,40,1134,1:01:50,01:36,36 / 170 / 203,04:27,4:57:24,22.6,16 / 102 / 103,02:03,3:25:30,07:50,12 / 81 / 88,9:31:14
11,85,90,Daniel Labarca,M,40,1381,1:03:17,01:38,43 / 213 / 256,03:59,5:01:09,22.31,22 / 137 / 139,03:45,3:22:28,07:43,8 / 69 / 73,9:34:38
12,91,96,Curtis Whitney,M,40,1083,1:03:36,01:38,45 / 227 / 270,05:45,5:11:24,21.58,46 / 240 / 252,02:26,3:12:03,07:19,3 / 32 / 34,9:35:14
13,95,100,TODD LOSEE,M,40,1103,1:04:05,01:39,51 / 254 / 302,03:55,4:59:19,22.45,19 / 119 / 121,02:25,3:27:25,07:55,13 / 94 / 102,9:37:09
14,97,103,Chris Frank,M,40,1293,1:05:26,01:41,71 / 320 / 386,04:36,4:45:02,23.58,1 / 24 / 24,02:07,3:40:47,08:25,34 / 195 / 217,9:37:58
15,105,111,OYSTEIN GRANDE,M,40,1140,54:12,01:24,2 / 25 / 28,03:09,5:02:47,22.19,28 / 153 / 155,02:21,3:36:57,08:16,25 / 163 / 182,9:39:26
16,115,121,Paul Mitchell,M,40,1202,1:09:19,01:47,131 / 536 / 646,04:55,5:00:24,22.37,21 / 130 / 132,07:10,3:22:54,07:44,10 / 71 / 76,9:44:42
17,116,122,LAURENT FERREIRA,M,40,1052,1:08:24,01:46,108 / 461 / 558,03:31,4:54:22,22.83,8 / 75 / 76,01:22,3:37:29,08:18,26 / 170 / 191,9:45:08
18,117,123,RONALD VANDERSLUIS,M,40,1364,56:21,01:27,9 / 62 / 71,02:42,4:50:09,23.16,5 / 47 / 47,04:10,3:52:50,08:53,69 / 308 / 354,9:46:12
19,123,130,Bill Murphy,M,40,1340,57:41,01:29,11 / 86 / 99,04:12,5:03:58,22.11,30 / 161 / 164,02:40,3:39:05,08:21,30 / 182 / 203,9:47:36
20,131,138,Mark Sortino,M,40,1073,1:04:23,01:40,57 / 274 / 331,05:06,5:09:33,21.71,40 / 212 / 222,02:12,3:29:15,07:59,16 / 112 / 121,9:50:29
21,133,141,LANSING STEED,M,40,1056,1:06:02,01:42,81 / 352 / 428,07:22,5:01:38,22.28,25 / 144 / 146,02:39,3:33:25,08:08,23 / 138 / 152,9:51:06
22,136,144,Timothy Stockert,M,40,1189,1:06:47,01:43,89 / 374 / 453,05:10,5:12:19,21.52,51 / 252 / 267,03:05,3:24:33,07:48,11 / 76 / 83,9:51:54
23,138,146,NORBERT RINNEN,M,40,1219,1:10:18,01:49,143 / 591 / 710,03:31,5:04:36,22.06,31 / 165 / 169,02:30,3:31:45,08:04,21 / 127 / 139,9:52:40
24,145,153,Brent Schulte,M,40,1164,59:24,01:32,18 / 111 / 132,03:20,5:17:58,21.13,85 / 340 / 371,02:17,3:30:58,08:03,20 / 124 / 136,9:53:57
25,149,157,DIDIER SERRES,M,40,1142,1:04:29,01:40,60 / 279 / 337,06:17,4:56:06,22.69,10 / 91 / 92,03:59,3:43:52,08:32,42 / 222 / 249,9:54:43
