A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
33,198,217,Danny Burns,M,40,1475,1:04:15,01:39,33 / 187 / 218,07:03,5:07:06,21.88,41 / 210 / 225,04:56,3:53:59,08:55,52 / 252 / 295,10:17:17
34,200,219,Lance Watson,M,40,1144,1:00:45,01:34,11 / 87 / 101,04:10,4:53:24,22.9,12 / 98 / 100,06:08,4:14:38,09:43,109 / 470 / 566,10:19:03
35,201,220,Andreas Jacobsen,M,40,1339,1:02:42,01:37,22 / 122 / 142,05:05,5:07:45,21.84,45 / 217 / 233,04:09,3:59:56,09:09,71 / 322 / 377,10:19:35
36,203,222,MICHAEL PARKER,M,40,1210,1:06:48,01:43,54 / 288 / 334,06:06,5:11:00,21.61,53 / 254 / 271,03:20,3:52:38,08:52,47 / 241 / 281,10:19:49
37,211,231,Stephen Locke,M,40,1422,1:08:01,01:45,70 / 358 / 411,06:18,5:05:59,21.96,37 / 198 / 211,06:16,3:55:39,08:59,58 / 275 / 320,10:22:12
38,217,238,Steffen Lask,M,40,1255,1:02:20,01:36,15 / 106 / 124,05:22,4:54:00,22.86,15 / 104 / 106,03:05,4:18:19,09:51,126 / 514 / 626,10:23:05
39,220,241,Denis Del Bianco,M,40,1104,1:14:35,01:55,196 / 750 / 896,04:46,5:07:38,21.84,43 / 215 / 230,03:57,3:53:05,08:53,50 / 248 / 289,10:24:00
40,237,262,Scott Ostrem,M,40,1288,1:02:14,01:36,14 / 105 / 122,05:23,5:12:40,21.49,59 / 274 / 292,06:31,4:02:52,09:16,78 / 346 / 406,10:29:38
41,250,276,Thomas Wood,M,40,1416,1:03:53,01:39,28 / 165 / 190,06:06,5:33:45,20.13,157 / 593 / 667,05:02,3:43:01,08:30,30 / 170 / 192,10:31:45
42,251,277,Alex Mirich,M,40,1086,55:55,01:26,3 / 24 / 25,05:21,5:14:42,21.35,63 / 294 / 316,04:15,4:11:39,09:36,98 / 441 / 524,10:31:50
43,253,279,Brian O'su O;sullivan,M,40,1093,1:09:11,01:47,87 / 407 / 470,07:54,5:26:05,20.61,111 / 466 / 512,05:44,3:43:30,08:31,31 / 174 / 196,10:32:22
44,255,282,Dave Richter,M,40,1372,1:02:41,01:37,21 / 121 / 141,05:38,5:11:12,21.59,55 / 260 / 278,05:44,4:07:22,09:26,86 / 399 / 468,10:32:35
45,257,284,David Lambert,M,40,1067,1:10:31,01:49,104 / 474 / 553,09:50,5:23:26,20.78,99 / 422 / 457,03:44,3:45:14,08:35,33 / 185 / 210,10:32:44
46,262,289,Paul Mitchell,M,40,1480,1:14:00,01:54,183 / 720 / 856,08:27,5:10:33,21.64,50 / 249 / 266,05:23,3:55:33,08:59,57 / 271 / 316,10:33:54
