A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
34,220,258,Allan Norton,M,40,738,1:11:59,01:53,99 / 429 / 518,06:37,5:28:07,20.45,50 / 249 / 280,05:08,4:03:03,09:16,41 / 200 / 242,10:54:56
35,225,264,Bruce LAYMAN,M,40,706,1:06:17,01:44,53 / 244 / 290,04:20,5:21:04,20.9,35 / 189 / 207,04:03,4:20:31,09:56,63 / 285 / 345,10:56:18
36,227,266,GS,M,40,783,1:11:02,01:52,88 / 394 / 478,03:31,5:38:32,19.82,67 / 345 / 389,02:36,4:00:53,09:11,37 / 187 / 227,10:56:36
37,228,267,Sean Sleigh,M,40,772,1:16:15,02:00,125 / 532 / 646,06:35,5:56:57,18.8,113 / 502 / 581,07:31,3:29:31,07:59,3 / 46 / 52,10:56:51
38,229,268,Hamish Mactavish,M,40,721,57:52,01:31,5 / 55 / 62,03:24,5:32:43,20.17,53 / 292 / 328,04:09,4:18:44,09:52,59 / 275 / 333,10:56:54
39,237,278,Paul Hackett,M,40,675,1:04:32,01:41,39 / 199 / 232,03:58,5:26:37,20.55,46 / 234 / 262,03:12,4:21:12,09:57,68 / 292 / 353,10:59:33
40,238,279,Andrew Low,M,40,715,1:11:56,01:53,98 / 424 / 513,07:23,5:25:17,20.63,41 / 225 / 252,05:20,4:09:48,09:31,47 / 232 / 281,10:59:45
41,245,287,Justin Sparks,M,40,776,1:07:35,01:46,62 / 284 / 337,04:31,5:24:49,20.66,40 / 221 / 248,03:56,4:21:05,09:57,66 / 291 / 352,11:01:57
42,259,305,Craig Gruber,M,40,674,54:06,01:25,3 / 32 / 33,03:53,5:54:32,18.93,106 / 484 / 560,04:13,4:12:14,09:37,49 / 244 / 294,11:09:01
43,260,306,Peter Takos,M,40,784,1:05:06,01:42,44 / 210 / 245,04:44,5:36:00,19.97,59 / 315 / 356,03:38,4:19:37,09:54,61 / 279 / 338,11:09:07
44,263,310,Paul Franks,M,40,659,1:04:44,01:42,42 / 205 / 239,05:55,5:40:30,19.71,71 / 361 / 407,04:57,4:15:17,09:44,55 / 260 / 315,11:11:24
45,264,311,Travis Bottomley,M,40,618,1:11:36,01:53,94 / 412 / 500,06:30,5:37:04,19.91,63 / 327 / 368,02:51,4:13:40,09:40,52 / 249 / 300,11:11:42
46,266,313,David Smart,M,40,773,1:04:14,01:41,37 / 192 / 223,04:21,5:37:34,19.88,65 / 333 / 375,04:38,4:21:00,09:57,65 / 289 / 350,11:11:49
47,272,321,Adrian Johnston,M,40,695,1:04:48,01:42,43 / 206 / 240,04:24,5:44:53,19.46,78 / 396 / 451,04:56,4:14:47,09:42,54 / 255 / 310,11:13:50
48,281,332,Jerry Seah,M,40,766,1:09:34,01:49,76 / 350 / 422,05:17,5:53:49,18.97,105 / 480 / 555,03:46,4:03:51,09:17,42 / 203 / 246,11:16:20
49,284,335,Mark Robson,M,40,759,1:08:03,01:47,68 / 296 / 352,05:48,5:45:50,19.4,80 / 404 / 461,04:23,4:12:43,09:38,50 / 246 / 296,11:16:50
50,286,338,Private,M,40,654,1:07:27,01:46,60 / 280 / 333,03:23,6:18:51,17.71,157 / 658 / 779,02:45,3:45:01,08:34,16 / 108 / 127,11:17:29
51,288,340,Wade Bodley,M,40,617,1:01:46,01:37,26 / 131 / 152,04:25,5:27:32,20.49,48 / 243 / 272,04:24,4:39:37,10:39,89 / 401 / 500,11:17:46
52,291,343,Eisuke Ooka,M,40,741,1:11:46,01:53,95 / 419 / 508,06:22,5:38:58,19.8,69 / 348 / 392,04:20,4:17:20,09:48,58 / 271 / 327,11:18:48
53,293,345,Paul MANNING,M,40,723,1:08:02,01:47,67 / 295 / 351,11:07,5:51:47,19.08,99 / 463 / 535,08:30,3:59:49,09:08,36 / 181 / 220,11:19:16
54,294,346,Peter Hudec,M,40,687,1:37:59,02:34,197 / 858 / 1063,07:48,5:28:28,20.43,51 / 252 / 284,03:00,4:02:01,09:13,40 / 194 / 236,11:19:19
55,297,349,David Bourne,M,40,619,1:01:35,01:37,22 / 123 / 143,06:10,5:46:17,19.38,82 / 410 / 468,05:26,4:20:50,09:56,64 / 287 / 348,11:20:21
56,308,362,Pascal Lacroix,M,40,744,1:05:49,01:43,47 / 225 / 268,03:05,5:22:51,20.79,38 / 204 / 228,05:02,4:47:55,10:58,100 / 445 / 553,11:24:44
57,311,365,Dwayne Crowe,M,40,645,1:12:35,01:54,105 / 449 / 542,09:07,5:37:45,19.87,66 / 336 / 378,03:28,4:22:47,10:01,70 / 300 / 366,11:25:44
58,321,377,David Croser,M,40,644,1:19:22,02:05,138 / 605 / 736,05:11,5:51:56,19.07,100 / 464 / 536,06:08,4:05:17,09:21,44 / 211 / 255,11:27:56
59,322,378,richard houghton,M,40,686,1:13:54,01:56,111 / 479 / 582,04:03,6:08:49,18.2,138 / 589 / 693,03:59,3:57:32,09:03,31 / 166 / 199,11:28:19
60,335,393,Steven Mackay,M,40,719,1:09:21,01:49,73 / 341 / 407,04:14,5:11:20,21.56,27 / 126 / 135,03:39,5:05:54,11:39,116 / 524 / 658,11:34:31
61,337,395,Matthew Miller,M,40,730,1:01:53,01:37,27 / 133 / 154,06:31,5:27:08,20.51,47 / 239 / 267,05:06,4:54:10,11:13,103 / 477 / 597,11:34:50
62,340,398,Paul Claessen,M,40,636,1:15:45,01:59,122 / 516 / 622,08:04,5:35:55,19.98,58 / 313 / 354,06:58,4:29:39,10:17,76 / 335 / 412,11:36:24
63,341,399,Andrew Foggin,M,40,657,1:01:40,01:37,24 / 125 / 146,05:20,5:56:54,18.8,112 / 500 / 579,02:28,4:30:16,10:18,77 / 340 / 418,11:36:41
64,350,410,Jeffrey Lui,M,40,716,1:10:33,01:51,84 / 380 / 461,08:05,5:48:16,19.27,89 / 433 / 496,06:08,4:26:41,10:10,74 / 321 / 393,11:39:45
65,358,420,Glenn Taylor,M,40,787,1:02:28,01:38,30 / 143 / 167,05:28,5:26:23,20.56,45 / 233 / 261,06:21,5:00:51,11:28,109 / 503 / 632,11:41:34
66,367,431,Craig Wigglesworth,M,40,805,59:07,01:33,12 / 80 / 92,02:48,5:42:26,19.6,74 / 383 / 433,04:31,4:56:07,11:17,105 / 484 / 607,11:45:01
67,371,438,Rajan Thananayagam,M,40,790,1:16:29,02:00,126 / 541 / 657,06:54,5:36:57,19.92,62 / 326 / 367,03:07,4:43:00,10:47,94 / 420 / 522,11:46:28
