A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
4,46,48,David Powell,M,44,499,1:07:31,01:44,17 / 146 / 161,,5:12:00,21.54,3 / 43 / 44,,3:36:39,08:16,3 / 52 / 57,9:56:10
6,72,78,Mark Kay,M,42,328,54:20,01:24,2 / 10 / 10,,5:22:46,20.82,6 / 71 / 73,,4:08:26,09:28,15 / 126 / 145,10:25:32
9,84,91,David Barber,M,43,84,1:12:16,01:52,26 / 202 / 221,,5:23:38,20.76,7 / 73 / 75,,3:57:25,09:03,11 / 94 / 107,10:33:19
18,156,173,David Evans,M,41,194,1:23:58,02:10,60 / 346 / 393,,5:40:17,19.75,15 / 145 / 154,,4:11:58,09:37,18 / 140 / 163,11:16:13
21,176,196,Jeff Heisler,M,40,270,1:31:31,02:22,77 / 408 / 480,,5:44:17,19.52,19 / 168 / 178,,4:14:12,09:42,21 / 147 / 171,11:30:00
25,191,212,Neil Anderson,M,42,61,1:36:32,02:29,87 / 436 / 510,,6:10:06,18.16,36 / 275 / 302,,3:48:18,08:42,8 / 74 / 82,11:34:56
32,240,272,Michael Parrotte (Ironnerd),M,41,482,1:15:22,01:57,35 / 240 / 266,,6:22:08,17.59,51 / 335 / 371,,4:29:17,10:16,30 / 193 / 229,12:06:47
36,266,303,Barry Turner,M,41,633,1:15:00,01:56,34 / 238 / 264,,6:16:23,17.85,44 / 303 / 333,,4:52:30,11:09,47 / 264 / 318,12:23:53
46,335,389,IAN SMITH,M,42,569,1:34:04,02:26,83 / 425 / 498,,6:27:01,17.36,53 / 345 / 382,,5:06:17,11:41,57 / 308 / 370,13:07:22
51,361,421,Joseph Trainor,M,42,628,1:10:56,01:50,20 / 177 / 192,,6:11:26,18.09,39 / 287 / 314,,6:00:59,13:46,80 / 413 / 497,13:23:21
53,382,445,David Morris,M,44,446,1:13:32,01:54,32 / 224 / 248,,6:07:04,18.31,34 / 264 / 289,,6:20:54,14:32,86 / 435 / 528,13:41:30
67,426,503,John Pearce,M,43,485,1:29:21,02:18,72 / 395 / 462,,6:47:09,16.5,70 / 404 / 462,,6:21:10,14:32,87 / 436 / 529,14:37:40
68,428,505,Alec Makdessian,M,40,396,1:53:55,02:56,95 / 467 / 559,,7:06:56,15.74,85 / 440 / 510,,5:38:20,12:54,73 / 381 / 453,14:39:11
69,432,511,Stephen Taylor,M,41,617,1:12:17,01:52,27 / 203 / 222,,6:47:03,16.51,69 / 403 / 461,,6:43:50,15:24,91 / 452 / 549,14:43:10
76,468,567,Wayne Metcalfe,M,44,431,1:36:48,02:30,88 / 437 / 511,,7:20:30,15.26,92 / 460 / 541,,7:02:12,16:06,95 / 463 / 564,15:59:30
78,470,570,Peter Stone,M,40,601,1:35:32,02:28,85 / 432 / 505,,7:10:31,15.61,86 / 446 / 520,,7:14:10,16:34,97 / 469 / 571,16:00:13
79,472,572,MIURA YOSHINORI,M,41,685,1:33:54,02:25,82 / 423 / 495,,7:32:12,14.86,96 / 472 / 563,,6:58:25,15:58,94 / 460 / 561,16:04:31
