A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,18,18,Shinichi IDE,M,40,440,57:38,01:31,12 / 93 / 109,,4:48:01,23.3,5 / 40 / 40,,3:02:42,06:58,1 / 15 / 15,8:48:21
2,39,41,Marcel Weijers,M,40,956,55:23,01:27,6 / 63 / 70,,4:47:20,23.36,4 / 37 / 37,,3:25:54,07:51,7 / 50 / 56,9:08:37
3,40,42,Rob ZWIERLEIN,M,40,997,58:35,01:32,19 / 127 / 145,,4:46:55,23.39,2 / 32 / 32,,3:23:46,07:46,6 / 48 / 53,9:09:16
4,41,43,Romano BERNHARD,M,40,110,55:26,01:27,7 / 66 / 73,,4:47:15,23.36,3 / 35 / 35,,3:27:09,07:53,8 / 57 / 64,9:09:50
5,43,45,david ciaverella,M,40,177,58:14,01:31,15 / 108 / 126,,4:53:38,22.85,8 / 58 / 58,,3:19:39,07:36,4 / 38 / 42,9:11:31
6,57,62,Andrew FORTH,M,40,305,53:54,01:25,4 / 39 / 44,,4:45:34,23.5,1 / 26 / 26,,3:44:04,08:32,21 / 115 / 133,9:23:32
7,58,63,Keish Doi,M,40,243,1:00:19,01:35,32 / 185 / 212,,5:03:18,22.13,13 / 94 / 97,,3:20:13,07:38,5 / 39 / 43,9:23:50
8,65,70,Hugh Gibbs,M,40,339,1:01:34,01:37,38 / 216 / 248,,4:57:55,22.53,11 / 75 / 75,,3:29:26,07:59,9 / 63 / 73,9:28:55
9,67,72,Michael BAKER,M,40,78,58:21,01:32,17 / 113 / 131,,4:52:48,22.92,7 / 56 / 56,,3:38:23,08:19,14 / 89 / 102,9:29:32
10,70,75,darren carmody,M,40,157,1:00:07,01:34,28 / 171 / 197,,4:56:29,22.63,9 / 65 / 65,,3:35:39,08:13,10 / 81 / 94,9:32:15
11,71,76,Quentin FOSTER,M,40,308,1:02:37,01:38,41 / 232 / 267,,5:18:26,21.07,25 / 165 / 177,,3:11:43,07:18,2 / 27 / 29,9:32:46
