A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,8,8,Bradley Hosking,M,40,542,53:58,01:23,5 / 46 / 51,,4:48:52,0,4 / 27 / 27,,3:09:34,07:14,2 / 9 / 9,8:52:25
2,26,27,Darren Franken,M,40,407,56:22,01:27,12 / 85 / 95,,4:49:32,0,5 / 29 / 29,,3:32:29,08:06,4 / 41 / 46,9:18:23
3,37,40,Bern WARD,M,40,1235,56:52,01:28,14 / 101 / 112,,4:57:19,0,9 / 59 / 59,,3:29:48,08:00,3 / 35 / 40,9:24:00
4,49,53,Matias Marquez,M,40,715,59:14,01:32,26 / 169 / 191,,4:58:12,0,11 / 68 / 68,,3:38:25,08:20,5 / 60 / 67,9:35:52
5,50,54,David Barber,M,40,94,57:34,01:29,19 / 138 / 150,,4:48:46,0,3 / 26 / 26,,3:49:43,08:46,10 / 96 / 112,9:36:05
6,62,66,Michele Mueller,M,40,803,56:19,01:27,11 / 84 / 94,,4:58:35,0,12 / 71 / 72,,3:48:38,08:43,8 / 93 / 108,9:43:33
7,83,91,Dughall Aitken,M,40,54,58:19,01:30,21 / 146 / 158,,5:00:23,0,15 / 82 / 83,,3:56:04,09:00,14 / 121 / 140,9:54:47
8,96,105,Michael Priest,M,40,926,1:00:23,01:33,39 / 203 / 231,,5:10:22,0,29 / 134 / 139,,3:47:20,08:40,7 / 89 / 104,9:58:07
9,97,106,Andrew Brierley,M,40,160,1:06:54,01:43,97 / 414 / 485,,5:02:14,0,20 / 94 / 95,,3:49:35,08:45,9 / 95 / 111,9:58:44
10,103,114,Paul Moore,M,40,792,53:20,01:22,4 / 36 / 39,,5:00:44,0,16 / 85 / 86,,4:09:21,09:31,28 / 178 / 211,10:03:26
11,109,123,Dominic Molluso,M,40,789,58:50,01:31,25 / 160 / 179,,5:06:59,0,25 / 113 / 117,,4:02:21,09:15,21 / 144 / 167,10:08:11
12,110,124,Private,M,40,1019,1:00:14,01:33,36 / 198 / 225,,4:59:46,0,14 / 78 / 79,,4:08:19,09:28,25 / 173 / 205,10:08:20
