A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,12,12,Bradley Hosking,M,40,-,56:46,01:29,7 / 58 / 66,,4:47:58,23.3,4 / 35 / 35,,2:58:26,06:48,1 / 6 / 6,8:43:12
2,18,18,Chris SOUTHWELL,M,40,-,51:54,01:21,1 / 17 / 19,,4:46:48,23.4,3 / 32 / 32,,3:17:16,07:31,4 / 31 / 34,8:55:58
3,34,36,Romano BERNHARD,M,40,-,57:00,01:30,9 / 62 / 70,,4:53:01,22.9,7 / 50 / 50,,3:23:59,07:46,6 / 45 / 48,9:14:01
4,39,41,Stephan SCHWARZE,M,40,-,1:01:10,01:36,21 / 166 / 190,,5:01:53,22.23,12 / 90 / 93,,3:13:24,07:22,3 / 18 / 20,9:16:28
5,46,48,Matt ILLINGWORTH,M,40,-,1:01:05,01:36,20 / 161 / 185,,4:19:50,25.83,1 / 2 / 2,,3:59:57,09:09,23 / 197 / 224,9:20:52
6,52,54,Marcel Weijers,M,40,-,55:48,01:28,5 / 48 / 55,,4:49:01,23.22,5 / 38 / 38,,3:40:24,08:24,11 / 107 / 118,9:25:14
7,68,70,Simon LEVERSHA,M,40,-,1:11:43,01:53,91 / 514 / 626,,5:13:49,21.38,18 / 155 / 165,,3:10:53,07:16,2 / 15 / 17,9:36:25
8,77,81,Rick Twine,M,40,-,57:06,01:30,10 / 68 / 77,,5:00:19,22.35,11 / 85 / 87,,3:42:30,08:29,12 / 115 / 127,9:39:56
9,83,87,Christophe CONTE,M,40,-,1:08:38,01:48,65 / 414 / 485,,5:10:08,21.64,15 / 128 / 133,,3:23:56,07:46,5 / 44 / 47,9:42:44
10,99,106,David BARBER,M,40,-,58:48,01:32,16 / 111 / 132,,4:46:02,23.46,2 / 27 / 27,,4:06:12,09:23,29 / 232 / 273,9:51:03
11,116,129,Jamie Rankin,M,40,-,1:03:13,01:39,32 / 248 / 279,,5:24:06,20.71,36 / 246 / 273,,3:32:13,08:05,9 / 71 / 79,9:59:32
12,118,131,John GESTAKOVSKI,M,40,-,1:03:15,01:39,33 / 250 / 282,,4:51:17,23.04,6 / 45 / 45,,4:05:10,09:20,27 / 227 / 267,9:59:43
13,124,138,Susumu KOBAYASHI,M,40,-,1:04:57,01:42,50 / 325 / 371,,5:28:02,20.46,40 / 283 / 318,,3:30:32,08:01,8 / 66 / 73,10:03:32
14,130,144,Steve EDSTEIN,M,40,-,59:26,01:33,17 / 118 / 139,,5:37:10,19.9,55 / 361 / 401,,3:29:34,07:59,7 / 63 / 69,10:06:11
15,131,145,Russell Platts,M,40,-,59:55,01:34,18 / 134 / 157,,5:00:04,22.36,10 / 82 / 84,,4:06:22,09:23,30 / 234 / 275,10:06:22
16,134,150,Martin HERBRICH,M,40,-,1:03:53,01:40,38 / 279 / 315,,5:06:55,21.87,14 / 112 / 116,,3:58:44,09:06,21 / 187 / 213,10:09:33
17,135,151,Adrian FINLAYSON,M,40,-,1:04:23,01:41,43 / 298 / 336,,5:05:08,21.99,13 / 105 / 108,,4:00:19,09:09,24 / 199 / 227,10:09:52
18,149,166,Mark JANKOVSKIS,M,40,-,1:01:39,01:37,26 / 191 / 216,,5:22:10,20.83,33 / 227 / 251,,3:50:55,08:48,15 / 147 / 164,10:14:44
19,166,188,Geoff STUTSEL,M,40,-,1:04:41,01:42,46 / 315 / 358,,5:19:11,21.02,25 / 194 / 210,,3:58:21,09:05,20 / 185 / 211,10:22:14
20,169,192,Peter Randall,M,40,-,1:02:25,01:38,31 / 222 / 248,,5:18:14,21.09,24 / 190 / 205,,4:02:17,09:14,25 / 210 / 239,10:22:57
21,177,202,Mark KAY,M,40,-,53:36,01:24,3 / 35 / 39,,4:59:14,22.43,9 / 79 / 81,,4:31:54,10:22,61 / 361 / 442,10:24:45
22,181,207,Steve AMOS,M,40,-,1:10:47,01:51,80 / 481 / 577,,5:43:04,19.56,66 / 410 / 456,,3:32:26,08:06,10 / 72 / 81,10:26:18
23,199,227,Philippe DENAT,M,40,-,1:11:58,01:53,94 / 526 / 640,,5:21:29,20.87,32 / 220 / 242,,3:58:48,09:06,22 / 189 / 215,10:32:15
24,200,228,Carmelo GALLO,M,40,-,1:06:08,01:44,52 / 350 / 400,,5:19:21,21.01,27 / 198 / 215,,4:07:20,09:25,32 / 242 / 283,10:32:50
25,201,229,Trevor BUCHANAN,M,40,-,1:10:57,01:52,82 / 485 / 581,,5:14:02,21.37,19 / 157 / 167,,4:07:57,09:27,33 / 244 / 285,10:32:57
26,207,237,ALISTAIR PRESS,M,40,-,1:05:47,01:43,51 / 343 / 393,,5:20:36,20.93,29 / 212 / 232,,4:07:19,09:25,31 / 241 / 282,10:33:42
27,214,245,Michael Bray,M,40,-,1:04:51,01:42,48 / 324 / 369,,5:13:32,21.4,17 / 152 / 161,,4:16:19,09:46,42 / 280 / 331,10:34:43
28,222,254,Terry Cameron,M,40,-,1:08:35,01:48,64 / 413 / 484,,5:40:36,19.7,60 / 384 / 428,,3:48:20,08:42,14 / 134 / 150,10:37:32
29,236,269,Stephen Bradshaw,M,40,-,1:02:05,01:38,27 / 210 / 236,,5:43:06,19.56,67 / 411 / 457,,3:57:42,09:03,19 / 179 / 205,10:42:54
30,241,274,Stephen HUMPHREYS,M,40,-,1:08:51,01:48,69 / 421 / 495,,5:20:59,20.91,31 / 214 / 235,,4:13:55,09:41,39 / 269 / 318,10:43:46
