A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,15,15,Bradley Hosking,M,40,799,56:59,01:29,16 / 101 / 107,03:32,4:57:08,22.59,12 / 66 / 68,01:50,2:58:17,06:47,1 / 6 / 6,8:57:47
2,27,27,Private,M,40,741,00:00,00:00,1 / 1 / 1,00:00,00:00,0,1 / 1 / 1,00:00,00:00,00:00,1 / 1 / 1,9:09:09
3,37,37,David Chick,M,40,761,1:00:02,01:34,31 / 180 / 197,04:05,4:54:37,22.78,8 / 47 / 49,01:47,3:14:46,07:25,2 / 28 / 28,9:15:19
4,40,40,Mark Ariens,M,40,728,55:49,01:28,12 / 72 / 75,02:58,4:50:32,23.1,4 / 31 / 31,01:38,3:28:15,07:56,7 / 70 / 74,9:19:15
5,41,42,Steven Lord,M,40,832,50:21,01:19,2 / 22 / 22,02:19,4:49:43,23.16,3 / 26 / 26,01:40,3:36:52,08:16,19 / 120 / 128,9:20:57
6,45,46,Andrew Bruce,M,40,755,57:30,01:30,19 / 115 / 123,02:02,5:01:04,22.29,18 / 92 / 94,02:24,3:18:53,07:35,3 / 42 / 42,9:21:55
7,48,50,Olivier Baillet,M,40,730,55:42,01:27,10 / 64 / 66,03:23,4:55:09,22.74,9 / 52 / 54,03:12,3:26:44,07:53,6 / 66 / 70,9:24:13
8,53,55,Matthew Koorey,M,40,821,53:02,01:23,7 / 42 / 42,01:56,4:55:35,22.7,10 / 56 / 58,01:59,3:34:41,08:11,15 / 103 / 110,9:27:15
9,55,57,Michael Rees,M,40,879,50:33,01:19,3 / 23 / 23,02:12,4:54:25,22.79,7 / 44 / 46,01:35,3:39:05,08:21,21 / 138 / 148,9:27:53
10,58,60,Matthew Illingworth,M,40,805,59:08,01:33,27 / 154 / 168,02:16,4:30:07,24.84,1 / 4 / 4,02:12,3:56:33,09:01,48 / 276 / 307,9:30:19
11,66,68,ALISTAIR PRESS,M,40,876,1:00:14,01:35,32 / 191 / 210,03:58,4:54:09,22.81,6 / 42 / 44,04:26,3:32:12,08:05,10 / 88 / 93,9:35:01
12,78,81,Sean Lynch,M,40,837,55:43,01:27,11 / 66 / 68,02:49,5:04:33,22.04,23 / 115 / 119,02:24,3:33:30,08:08,13 / 97 / 103,9:39:01
13,82,85,Paul Thompson,M,40,906,57:40,01:31,22 / 125 / 136,02:54,5:03:44,22.09,22 / 108 / 112,02:43,3:34:05,08:09,14 / 99 / 105,9:41:08
14,86,89,arnaud selukov,M,40,887,57:52,01:31,23 / 137 / 149,03:01,4:52:41,22.93,5 / 40 / 40,02:21,3:46:05,08:37,32 / 191 / 209,9:42:02
15,88,91,Andrew MacPherson,M,40,841,1:00:19,01:35,36 / 195 / 215,03:28,5:06:32,21.89,25 / 129 / 133,02:34,3:31:01,08:02,8 / 80 / 85,9:43:56
