A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,13,13,Stephen Hemy,M,40,-,53:43,01:24,1 / 31 / 32,,4:52:20,22.96,6 / 39 / 42,,3:09:53,07:14,3 / 13 / 13,8:55:56
2,14,14,Dave Boyes,M,40,-,58:16,01:32,11 / 92 / 103,,4:49:04,23.22,3 / 28 / 28,,3:08:54,07:12,2 / 11 / 11,8:56:14
3,16,16,Sandy Burt,M,40,-,1:02:48,01:39,33 / 186 / 210,,4:48:55,23.23,2 / 27 / 27,,3:07:59,07:10,1 / 9 / 9,8:59:42
4,22,22,Ronald Sammut,M,40,-,59:10,01:33,16 / 123 / 137,,4:49:43,23.16,5 / 30 / 31,,3:20:21,07:38,4 / 24 / 27,9:09:14
5,24,25,Marcel Weijers,M,40,-,54:07,01:25,2 / 36 / 38,,4:47:22,23.35,1 / 19 / 19,,3:29:17,07:58,5 / 34 / 44,9:10:46
6,54,65,Tim Howley,M,40,-,58:19,01:32,12 / 96 / 107,,4:55:27,22.71,9 / 49 / 52,,3:45:57,08:37,10 / 71 / 85,9:39:43
7,57,68,Johann Teufelhart,M,40,-,1:04:53,01:42,40 / 222 / 258,,4:54:02,22.82,8 / 44 / 47,,3:41:50,08:27,7 / 64 / 77,9:40:45
8,71,83,Craig STEEN,M,40,-,1:02:59,01:39,35 / 193 / 219,,5:12:32,21.47,17 / 122 / 138,,3:36:15,08:14,6 / 49 / 62,9:51:46
9,82,94,Craig Kimpton,M,40,-,1:00:34,01:35,23 / 145 / 162,,5:11:25,21.55,14 / 116 / 131,,3:42:34,08:29,8 / 65 / 78,9:54:33
10,95,110,Terry Roberts,M,40,-,59:50,01:34,19 / 133 / 149,,5:16:04,21.23,21 / 138 / 155,,3:48:36,08:43,11 / 81 / 95,10:04:30
11,99,114,Harald Kaiser,M,40,-,1:00:14,01:35,20 / 138 / 154,,5:14:17,21.35,18 / 129 / 145,,3:54:45,08:57,15 / 103 / 123,10:09:16
12,104,119,Rick Twine,M,40,-,58:06,01:31,10 / 85 / 95,,5:18:05,21.1,24 / 156 / 174,,3:56:11,09:00,17 / 110 / 131,10:12:22
13,107,122,Darrell Farquharson,M,40,-,1:02:49,01:39,34 / 188 / 213,,5:11:52,21.52,15 / 119 / 135,,3:59:07,09:07,19 / 120 / 143,10:13:48
14,120,135,erik zeppezauer,M,40,-,1:05:44,01:43,44 / 240 / 278,,5:21:18,20.89,26 / 163 / 183,,3:53:06,08:53,13 / 97 / 112,10:20:08
15,124,139,Nicholas Wedde,M,40,-,57:16,01:30,7 / 68 / 76,,5:22:00,20.84,27 / 169 / 189,,4:01:37,09:12,22 / 127 / 150,10:20:53
16,126,141,Stephen Bradshaw,M,40,-,55:44,01:28,3 / 54 / 61,,5:17:36,21.13,23 / 149 / 167,,4:07:54,09:27,28 / 147 / 173,10:21:14
17,128,145,Paul Hayden,M,40,-,1:00:17,01:35,22 / 140 / 157,,5:15:36,21.26,20 / 136 / 152,,4:06:46,09:24,26 / 142 / 168,10:22:39
18,139,156,Richard Stacey,M,40,-,1:09:54,01:50,59 / 317 / 375,,5:29:41,20.36,31 / 213 / 237,,3:50:01,08:46,12 / 87 / 101,10:29:36
