A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,20,23,Steven SHIRLEY,M,40,-,1:01:17,01:36,18 / 116 / 128,02:52,5:02:55,22.15,2 / 21 / 23,02:39,3:35:32,08:13,4 / 26 / 30,9:45:17
2,23,27,Mat STEPHENSON,M,40,-,57:43,01:31,7 / 55 / 59,02:51,5:12:26,21.48,11 / 47 / 51,02:25,3:33:46,08:09,3 / 24 / 27,9:49:14
3,35,39,Russell NUGENT,M,40,-,59:26,01:33,10 / 78 / 85,02:59,5:16:22,21.21,16 / 66 / 70,01:50,3:47:42,08:41,5 / 44 / 52,10:08:22
4,36,41,Andre VISSER,M,40,-,1:00:48,01:36,15 / 102 / 111,02:41,5:05:16,21.98,4 / 24 / 27,02:14,3:57:50,09:04,15 / 76 / 87,10:08:52
5,39,44,Eric SALESSES,M,40,-,58:29,01:32,8 / 66 / 71,04:08,5:08:46,21.73,6 / 35 / 38,03:15,3:56:42,09:01,13 / 70 / 81,10:11:22
6,41,46,Chris DARKE,M,40,-,1:15:23,01:59,133 / 605 / 681,04:59,5:13:40,21.39,13 / 52 / 56,06:28,3:31:49,08:04,2 / 21 / 24,10:12:20
7,50,56,Patrick Hofer,M,40,-,1:02:30,01:38,25 / 137 / 151,04:23,5:21:21,20.88,24 / 94 / 99,02:26,3:50:27,08:47,6 / 50 / 59,10:21:09
8,59,67,Martin SANDERS,M,40,-,1:04:23,01:41,42 / 197 / 217,04:32,5:07:50,21.8,5 / 31 / 34,03:12,4:10:40,09:33,24 / 124 / 149,10:30:38
9,60,68,David REID,M,40,-,1:02:40,01:38,29 / 152 / 166,03:49,5:28:27,20.43,33 / 126 / 136,02:46,3:52:57,08:53,10 / 56 / 67,10:30:40
10,67,76,Duane PORTER,M,40,-,1:08:26,01:48,66 / 336 / 366,05:07,5:27:35,20.49,31 / 124 / 132,02:45,3:51:13,08:49,8 / 52 / 61,10:35:08
11,70,79,Pedro LEON ABALLAY,M,40,-,1:01:20,01:36,19 / 117 / 129,04:14,5:09:00,21.72,7 / 36 / 40,04:22,4:18:07,09:50,32 / 161 / 192,10:37:05
12,74,84,Stephen GLYNN,M,40,-,1:01:40,01:37,22 / 125 / 138,03:08,5:23:07,20.77,26 / 100 / 106,02:56,4:10:39,09:33,23 / 123 / 148,10:41:32
13,76,87,Dean GAFFIGAN,M,40,-,1:01:39,01:37,21 / 124 / 137,04:23,5:42:52,19.57,61 / 255 / 275,03:20,3:50:28,08:47,7 / 51 / 60,10:42:45
14,78,89,Leon TOBIAS,M,40,-,1:02:30,01:38,26 / 137 / 151,04:20,5:31:30,20.24,36 / 149 / 159,03:53,4:00:42,09:10,17 / 89 / 102,10:42:56
15,85,96,Mike PALFRAMAN,M,40,-,1:03:59,01:41,37 / 182 / 202,47:06,4:54:31,22.79,1 / 15 / 15,05:45,3:53:38,08:54,11 / 59 / 70,10:45:01
16,86,97,Anton Du Plessis,M,40,-,1:02:36,01:38,28 / 146 / 160,03:29,5:14:44,21.32,14 / 57 / 61,03:32,4:21:01,09:57,40 / 181 / 218,10:45:24
17,89,100,Marc DE ROOY,M,40,-,1:04:06,01:41,39 / 187 / 207,03:00,5:24:28,20.68,27 / 107 / 114,02:30,4:11:53,09:36,26 / 134 / 159,10:45:59
18,93,104,Erwan PREVOST,M,40,-,1:10:52,01:51,98 / 438 / 475,02:52,5:05:15,21.98,3 / 23 / 26,03:42,4:24:49,10:05,52 / 202 / 249,10:47:32
19,96,107,Shane PETERS,M,40,-,59:47,01:34,12 / 84 / 93,04:33,5:13:07,21.43,12 / 49 / 53,03:19,4:27:50,10:12,57 / 220 / 269,10:48:38
20,106,118,Troy BENN,M,40,-,1:03:57,01:40,36 / 181 / 201,06:37,5:20:33,20.94,23 / 93 / 98,04:44,4:17:13,09:48,30 / 158 / 187,10:53:05
21,107,119,Mario SAUDER,M,40,-,1:12:00,01:53,106 / 490 / 539,03:56,5:34:40,20.05,40 / 169 / 181,03:07,3:59:37,09:08,16 / 83 / 95,10:53:22
22,113,126,Kobus DE VOS,M,40,-,1:14:13,01:57,123 / 564 / 629,03:47,5:17:33,21.13,19 / 71 / 76,02:17,4:17:40,09:49,31 / 160 / 190,10:55:31
23,114,127,Christian KAISER,M,40,-,1:04:52,01:42,45 / 217 / 237,04:40,5:48:05,19.28,76 / 315 / 336,02:44,3:55:23,08:58,12 / 65 / 76,10:55:46
24,120,134,Frederick WHITE,M,40,-,1:25:47,02:15,221 / 916 / 1068,05:38,5:26:36,20.55,29 / 117 / 125,02:37,3:57:22,09:03,14 / 74 / 85,10:58:02
25,125,139,Pascal MERCIER,M,40,-,56:56,01:29,4 / 39 / 43,03:05,5:09:59,21.65,8 / 39 / 43,03:00,4:46:05,10:54,87 / 351 / 435,10:59:07
26,126,140,Mark Savedes,M,40,-,1:05:45,01:43,52 / 245 / 267,02:22,5:10:47,21.59,9 / 42 / 46,03:35,4:37:30,10:34,76 / 297 / 364,11:00:01
27,130,144,Craig Dickson,M,40,-,59:31,01:33,11 / 81 / 88,03:19,5:16:38,21.19,17 / 67 / 71,03:32,4:38:28,10:37,79 / 302 / 370,11:01:31
28,131,145,Sergio Bazzo,M,40,-,1:04:52,01:42,46 / 217 / 237,03:20,5:40:14,19.72,52 / 217 / 233,05:33,4:07:52,09:27,21 / 116 / 138,11:01:53
29,151,169,Adrian Clarke,M,40,-,1:03:42,01:40,34 / 176 / 196,04:07,5:36:27,19.95,44 / 182 / 194,04:39,4:24:35,10:05,50 / 199 / 245,11:13:32
30,155,175,Andreas KLEINERT,M,40,-,1:10:14,01:50,89 / 417 / 453,03:43,5:46:32,19.37,69 / 296 / 317,03:16,4:11:11,09:34,25 / 127 / 152,11:14:57
31,156,176,Geoffeory GRIFFITHS,M,40,-,1:08:32,01:48,68 / 340 / 372,07:09,5:42:32,19.59,60 / 252 / 272,06:22,4:10:24,09:32,22 / 121 / 146,11:15:01
32,157,178,Malleier JUERGEN,M,40,-,1:01:48,01:37,23 / 128 / 141,03:22,5:28:48,20.41,34 / 131 / 141,06:26,4:35:08,10:29,71 / 270 / 335,11:15:34
33,161,182,Michael BONNELL,M,40,-,1:00:36,01:35,14 / 100 / 109,03:59,5:47:53,19.29,75 / 314 / 335,03:26,4:21:23,09:58,42 / 185 / 223,11:17:19
34,163,184,Jorge GIAMPIETRO,M,40,-,1:17:24,02:02,159 / 679 / 770,07:14,5:32:26,20.19,38 / 157 / 167,07:58,4:12:33,09:37,27 / 136 / 162,11:17:38
35,166,187,Glenn MACNAMARA,M,40,-,1:04:14,01:41,40 / 193 / 213,06:39,5:34:41,20.05,41 / 170 / 182,03:10,4:29:12,10:15,61 / 231 / 283,11:17:58
36,171,192,Liam VICTOR,M,40,-,1:07:36,01:46,63 / 306 / 334,07:46,5:29:46,20.35,35 / 136 / 146,05:06,4:31:20,10:20,65 / 246 / 303,11:21:36
37,175,197,Nico Swart,M,40,-,1:03:22,01:40,33 / 169 / 186,06:05,5:18:21,21.08,21 / 77 / 82,03:21,4:52:11,11:08,97 / 390 / 484,11:23:22
38,185,209,Bruce FIELDS,M,40,-,1:09:48,01:50,84 / 400 / 433,08:38,5:41:05,19.67,56 / 227 / 245,04:31,4:22:48,10:01,45 / 189 / 228,11:26:52
39,189,214,Volker SCHAUBRUCH,M,40,-,1:06:09,01:44,56 / 259 / 283,04:14,5:28:22,20.44,32 / 125 / 135,03:20,4:45:50,10:54,86 / 350 / 432,11:27:57
40,190,215,Stuart GIBBS,M,40,-,1:07:06,01:45,62 / 291 / 318,08:58,5:37:36,19.88,47 / 193 / 208,06:18,4:28:11,10:13,59 / 224 / 273,11:28:11
41,193,218,David ABRAHAM,M,40,-,1:08:32,01:48,69 / 340 / 372,05:37,5:38:44,19.81,50 / 202 / 217,03:58,4:31:25,10:21,66 / 247 / 305,11:28:18
42,202,227,Donovan MCSHANE,M,40,-,1:06:58,01:45,61 / 289 / 316,05:06,5:21:36,20.87,25 / 96 / 101,04:40,4:51:48,11:07,96 / 386 / 480,11:30:10
