A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,26,32,Mark Sack,M,40,994,59:50,01:34,6 / 59 / 69,02:53,5:04:21,22.05,4 / 40 / 45,02:37,3:21:05,07:40,2 / 18 / 23,9:30:45
2,31,38,Justin Hand,M,40,873,1:01:23,01:36,10 / 71 / 84,03:40,5:09:00,21.72,9 / 57 / 65,03:45,3:28:40,07:57,4 / 31 / 38,9:46:25
3,34,42,Nicolas KINSLEY,M,40,900,1:03:38,01:40,21 / 121 / 141,04:01,5:22:58,20.78,27 / 135 / 151,03:29,3:14:53,07:25,1 / 11 / 13,9:48:56
4,37,45,Stephan Schwarze,M,40,1003,1:03:47,01:40,22 / 124 / 144,04:23,5:11:58,21.51,14 / 74 / 82,03:55,3:30:25,08:01,5 / 33 / 40,9:54:26
5,45,53,Lloyd Marshall,M,40,930,1:01:22,01:36,9 / 70 / 83,03:59,5:27:29,20.49,36 / 176 / 195,04:01,3:22:11,07:42,3 / 21 / 26,9:59:00
6,49,58,Martin Braxmair,M,40,797,1:03:52,01:40,23 / 129 / 151,03:24,4:59:10,22.43,1 / 29 / 32,02:25,3:51:16,08:49,15 / 80 / 94,10:00:05
7,52,62,Andre VISSER,M,40,1066,1:08:16,01:47,48 / 254 / 286,04:25,5:04:51,22.01,6 / 44 / 49,02:36,3:43:34,08:31,7 / 54 / 66,10:03:40
8,56,66,Francois Finlay,M,40,852,1:01:27,01:37,11 / 72 / 85,02:47,5:08:10,21.78,8 / 51 / 59,03:28,3:51:16,08:49,16 / 80 / 94,10:07:07
9,60,70,Erwan PREVOST,M,40,973,1:01:32,01:37,12 / 74 / 87,02:07,5:00:58,22.3,2 / 34 / 37,02:58,4:03:34,09:17,27 / 129 / 161,10:11:08
10,62,72,Anthony Richecoeur,M,40,983,1:00:32,01:35,7 / 63 / 74,02:38,5:10:07,21.64,12 / 67 / 75,02:46,3:55:50,08:59,17 / 94 / 113,10:11:50
11,63,74,Marc DE ROOY,M,40,834,1:05:42,01:43,31 / 166 / 190,03:43,5:16:29,21.2,19 / 94 / 104,02:33,3:45:32,08:36,9 / 61 / 73,10:13:57
12,64,75,Nicholas Stephenson,M,40,1023,1:02:45,01:39,17 / 98 / 114,03:53,5:14:16,21.35,18 / 85 / 95,02:29,3:50:48,08:48,14 / 77 / 91,10:14:09
13,65,80,Alex Otto,M,40,966,1:09:14,01:49,53 / 285 / 322,05:08,5:12:42,21.46,17 / 81 / 89,04:43,3:47:53,08:41,10 / 65 / 77,10:19:38
14,70,86,Andre Piehl,M,40,970,1:02:13,01:38,15 / 89 / 103,03:44,5:10:00,21.65,11 / 63 / 71,03:04,4:04:34,09:19,28 / 132 / 166,10:23:33
15,75,91,Pierre Conradie,M,40,816,1:09:35,01:49,55 / 299 / 337,04:07,5:12:06,21.5,15 / 76 / 84,02:16,3:58:37,09:05,20 / 108 / 132,10:26:39
