A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,21,23,Jason Van Der Burgt,M,40,1320,1:00:57,01:36,16 / 108 / 118,02:31,5:04:49,22.02,5 / 45 / 46,02:38,3:18:38,07:34,4 / 24 / 26,9:29:37
2,24,27,Richard Wright,M,40,1359,55:32,01:27,6 / 36 / 39,02:24,5:05:33,21.96,6 / 48 / 50,01:52,3:25:26,07:50,7 / 33 / 38,9:30:48
3,25,28,Edoardo Bernaschi,M,40,1071,1:00:51,01:36,15 / 105 / 115,02:33,5:04:13,22.06,3 / 41 / 42,02:04,3:21:44,07:41,6 / 28 / 31,9:31:27
4,50,58,Michael Albert,M,40,1055,1:12:24,01:54,96 / 462 / 509,04:09,5:16:50,21.18,18 / 96 / 104,02:16,3:14:39,07:25,3 / 18 / 19,9:50:20
5,60,69,Russell NUGENT,M,40,1246,1:04:15,01:41,27 / 156 / 172,02:39,5:19:34,21,22 / 116 / 125,01:38,3:29:44,07:59,8 / 42 / 49,9:57:52
6,63,72,Martin Liebeck,M,40,1203,57:03,01:30,7 / 52 / 57,02:39,5:08:22,21.76,8 / 58 / 63,02:47,3:49:32,08:45,17 / 103 / 121,10:00:25
7,70,79,Terence Mitchell,M,40,1231,1:09:26,01:49,65 / 350 / 380,03:54,5:16:56,21.17,19 / 98 / 106,03:39,3:31:17,08:03,9 / 48 / 57,10:05:14
8,73,82,johan stemmet,M,40,1304,1:09:38,01:49,66 / 358 / 389,02:40,5:11:24,21.55,10 / 69 / 76,01:52,3:44:38,08:33,14 / 84 / 98,10:10:13
9,83,95,Bruno De Decker,M,40,1106,1:05:35,01:43,38 / 207 / 229,03:52,5:04:16,22.06,4 / 42 / 43,04:17,4:00:42,09:10,29 / 158 / 181,10:18:45
10,85,97,Michael Fairon,M,40,1139,1:08:17,01:47,55 / 301 / 330,04:51,5:13:17,21.42,16 / 82 / 89,03:06,3:50:44,08:47,18 / 109 / 128,10:20:17
11,86,99,Andrew Payne,M,40,1250,1:01:14,01:36,18 / 115 / 125,04:40,5:06:38,21.89,7 / 53 / 57,03:14,4:05:05,09:20,34 / 191 / 217,10:20:53
12,101,115,Marc DE ROOY,M,40,1115,1:05:15,01:43,34 / 185 / 204,02:28,5:24:25,20.69,28 / 150 / 161,02:10,3:55:17,08:58,23 / 131 / 151,10:29:37
13,104,118,Franna Vorster,M,40,1342,1:01:56,01:37,19 / 126 / 137,03:50,5:31:03,20.27,37 / 193 / 207,02:30,3:51:36,08:49,20 / 114 / 133,10:30:57
14,111,127,Daniel Tagwerker,M,40,1311,1:06:37,01:45,45 / 248 / 274,04:04,5:10:28,21.62,9 / 67 / 74,03:03,4:11:11,09:34,45 / 237 / 271,10:35:25
15,112,128,Guy Cluver,M,40,1091,59:57,01:34,11 / 84 / 91,03:19,5:38:30,19.83,55 / 275 / 294,02:17,3:52:36,08:52,21 / 118 / 138,10:36:41
16,119,135,Bruce Pye,M,40,1261,1:12:15,01:54,93 / 455 / 501,04:26,5:21:12,20.89,24 / 126 / 136,05:00,3:54:56,08:57,22 / 129 / 149,10:37:50
17,121,137,Christian Callebaut,M,40,1086,51:52,01:21,3 / 17 / 18,03:04,5:38:15,19.84,54 / 271 / 289,02:47,4:02:13,09:14,30 / 166 / 190,10:38:14
18,127,143,Mario SAUDER,M,40,1278,1:23:46,02:12,215 / 936 / 1073,06:00,5:28:06,20.45,31 / 172 / 185,02:37,3:39:04,08:21,10 / 64 / 75,10:39:35
19,129,145,Private,M,40,1122,1:10:53,01:51,78 / 402 / 439,08:24,5:31:08,20.27,39 / 196 / 210,06:27,3:43:03,08:30,13 / 76 / 90,10:39:58
20,130,146,Richard De Villiers,M,40,1117,55:03,01:26,4 / 32 / 35,03:23,5:26:13,20.57,29 / 159 / 171,03:16,4:12:39,09:38,47 / 247 / 283,10:40:35
21,131,147,Clive Sack,M,40,1274,1:06:20,01:44,43 / 237 / 263,06:22,5:20:04,20.97,23 / 120 / 130,05:17,4:02:42,09:15,31 / 172 / 196,10:40:48
22,136,152,John Towse,M,40,1316,1:11:02,01:52,80 / 416 / 453,06:32,5:42:58,19.57,70 / 317 / 336,02:58,3:39:36,08:22,11 / 66 / 78,10:43:07
23,141,157,Matías Alvarez Piris,M,40,1058,1:05:25,01:43,36 / 196 / 216,04:09,5:26:54,20.53,30 / 163 / 175,02:59,4:05:17,09:21,35 / 193 / 219,10:44:47
24,144,160,George Thom,M,40,1314,1:10:39,01:51,76 / 395 / 431,07:38,5:31:05,20.27,38 / 194 / 208,04:24,3:51:15,08:49,19 / 113 / 132,10:45:03
25,152,168,Eckhardt Visser,M,40,1338,1:13:00,01:55,104 / 494 / 542,05:58,5:38:05,19.85,53 / 269 / 287,04:03,3:45:45,08:36,15 / 88 / 105,10:46:52
26,153,169,Alejandro Ithurriague,M,40,1176,1:04:49,01:42,29 / 167 / 184,03:27,5:38:01,19.85,52 / 268 / 286,05:02,3:55:41,08:59,24 / 134 / 154,10:47:01
27,154,170,Pierre Conradie,M,40,1098,1:14:32,01:57,121 / 561 / 619,05:50,5:12:11,21.5,11 / 75 / 82,03:28,4:11:23,09:35,46 / 238 / 272,10:47:25
28,158,174,Frederick WHITE,M,40,1352,1:21:57,02:09,201 / 872 / 992,06:39,5:36:27,19.95,47 / 250 / 267,02:08,3:40:58,08:25,12 / 70 / 82,10:48:10
29,163,181,Andries De Kock,M,40,1111,1:08:42,01:48,58 / 317 / 347,04:43,5:19:06,21.03,21 / 111 / 120,02:24,4:14:47,09:42,50 / 272 / 310,10:49:44
30,164,182,Renaud Rego De Sebes,M,40,1264,1:05:05,01:42,30 / 175 / 193,02:05,5:13:02,21.44,14 / 79 / 86,04:39,4:25:45,10:08,76 / 355 / 408,10:50:38
31,165,183,Rick KROGH,M,40,1195,59:27,01:33,9 / 76 / 83,02:18,5:23:27,20.75,27 / 147 / 158,02:44,4:23:02,10:01,67 / 326 / 374,10:51:01
32,169,187,Derek Lewitton,M,40,1202,1:18:47,02:04,170 / 751 / 849,02:58,5:12:41,21.46,13 / 76 / 83,03:05,4:15:04,09:43,52 / 275 / 313,10:52:37
33,174,192,Bernard Wyatt,M,40,1360,1:00:36,01:35,14 / 100 / 109,03:04,5:29:09,20.39,35 / 179 / 192,02:25,4:18:57,09:52,60 / 298 / 343,10:54:14
34,180,198,Oswald Kydd,M,40,1197,1:19:44,02:05,186 / 812 / 919,09:11,5:57:01,18.8,120 / 488 / 519,09:56,3:20:13,07:38,5 / 27 / 29,10:56:07
35,185,203,Chris De Villiers,M,40,1116,1:12:21,01:54,95 / 460 / 507,05:41,5:28:50,20.41,33 / 177 / 190,04:27,4:05:19,09:21,36 / 194 / 220,10:56:40
36,199,219,Spyros Theodorou,M,40,1313,1:10:38,01:51,75 / 393 / 429,04:00,5:35:51,19.98,46 / 239 / 256,02:56,4:05:39,09:22,37 / 195 / 221,10:59:06
37,207,229,Alan Henry,M,40,1170,55:21,01:27,5 / 35 / 38,03:18,5:39:15,19.78,56 / 283 / 302,03:27,4:22:38,10:00,66 / 325 / 373,11:04:01
38,208,230,Stephen Eid,M,40,1133,58:59,01:33,8 / 72 / 78,05:03,5:54:40,18.92,108 / 461 / 488,06:48,3:58:39,09:06,27 / 148 / 170,11:04:11
39,209,231,Barry Upton,M,40,1318,1:12:39,01:54,100 / 476 / 523,04:50,5:22:19,20.82,26 / 138 / 149,03:48,4:21:18,09:57,63 / 311 / 357,11:04:56
40,211,233,Wollie Wolmarans,M,40,1355,1:06:43,01:45,46 / 254 / 280,04:55,5:32:32,20.18,41 / 210 / 224,03:21,4:18:04,09:50,58 / 292 / 335,11:05:37
