A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,32,37,Richard De Villi,M,40,1192,10:05:32,15:40,1 / 32 / 37,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,10:05:32
2,33,38,Gerhard Dobmeier,M,40,1224,10:06:18,15:41,2 / 33 / 38,,00:00,0,2 / 1 / 1,,00:00,00:00,2 / 1 / 1,10:06:18
3,44,50,Patrick Hofer,M,40,1589,10:17:41,15:59,3 / 44 / 50,,00:00,0,3 / 1 / 1,,00:00,00:00,3 / 1 / 1,10:17:41
4,67,76,Michael Stevenso,M,40,1014,10:37:51,16:30,4 / 67 / 76,,00:00,0,4 / 1 / 1,,00:00,00:00,4 / 1 / 1,10:37:51
5,69,78,Louis Booysen,M,40,1045,10:38:00,16:31,5 / 69 / 78,,00:00,0,5 / 1 / 1,,00:00,00:00,5 / 1 / 1,10:38:00
6,72,81,Timothy Pope,M,40,1071,10:39:32,16:33,6 / 72 / 81,,00:00,0,6 / 1 / 1,,00:00,00:00,6 / 1 / 1,10:39:32
7,88,99,Quentin Foster,M,40,1037,10:49:04,16:48,7 / 88 / 99,,00:00,0,7 / 1 / 1,,00:00,00:00,7 / 1 / 1,10:49:04
8,89,101,Craig De Wet,M,40,1165,10:49:27,16:48,8 / 89 / 101,,00:00,0,8 / 1 / 1,,00:00,00:00,8 / 1 / 1,10:49:27
9,101,114,Hugo Lemmen,M,40,1109,10:55:26,16:58,9 / 101 / 114,,00:00,0,9 / 1 / 1,,00:00,00:00,9 / 1 / 1,10:55:26
10,104,117,Gunter Kunze,M,40,1205,10:55:49,16:58,10 / 104 / 117,,00:00,0,10 / 1 / 1,,00:00,00:00,10 / 1 / 1,10:55:49
11,117,130,Craig Dickson,M,40,1082,11:03:19,17:10,11 / 117 / 130,,00:00,0,11 / 1 / 1,,00:00,00:00,11 / 1 / 1,11:03:19
12,118,131,Steve Amos,M,40,1012,11:03:24,17:10,12 / 118 / 131,,00:00,0,12 / 1 / 1,,00:00,00:00,12 / 1 / 1,11:03:24
13,124,138,Anton Du Plessis,M,40,1195,11:05:45,17:14,13 / 124 / 138,,00:00,0,13 / 1 / 1,,00:00,00:00,13 / 1 / 1,11:05:45
14,129,143,Darrell Wicht,M,40,1142,11:08:26,17:18,14 / 129 / 143,,00:00,0,14 / 1 / 1,,00:00,00:00,14 / 1 / 1,11:08:26
15,130,144,Adrian Kehl,M,40,1026,11:08:29,17:18,15 / 130 / 144,,00:00,0,15 / 1 / 1,,00:00,00:00,15 / 1 / 1,11:08:29
16,131,145,Benoit Bernard,M,40,1057,11:09:08,17:19,16 / 131 / 145,,00:00,0,16 / 1 / 1,,00:00,00:00,16 / 1 / 1,11:09:08
17,134,148,Wayne Scott,M,40,1156,11:09:35,17:20,17 / 134 / 148,,00:00,0,17 / 1 / 1,,00:00,00:00,17 / 1 / 1,11:09:35
18,138,152,Terence Mitchell,M,40,1044,11:10:23,17:21,18 / 138 / 152,,00:00,0,18 / 1 / 1,,00:00,00:00,18 / 1 / 1,11:10:23
19,140,154,Nico Swart,M,40,1117,11:10:54,17:22,19 / 140 / 154,,00:00,0,19 / 1 / 1,,00:00,00:00,19 / 1 / 1,11:10:54
19,140,155,George Thom,M,40,1107,11:10:54,17:22,20 / 140 / 154,,00:00,0,20 / 1 / 1,,00:00,00:00,20 / 1 / 1,11:10:54
21,142,156,Kobus De Vos,M,40,1080,11:10:59,17:22,21 / 142 / 156,,00:00,0,21 / 1 / 1,,00:00,00:00,21 / 1 / 1,11:10:59
22,152,167,Alexander Wayde Pringle,M,40,1249,11:17:08,17:31,22 / 152 / 167,,00:00,0,22 / 1 / 1,,00:00,00:00,22 / 1 / 1,11:17:08
23,159,174,Alan Carrington,M,40,1245,11:19:42,17:35,23 / 159 / 174,,00:00,0,23 / 1 / 1,,00:00,00:00,23 / 1 / 1,11:19:42
24,164,181,Roger Zipp,M,40,1036,11:22:38,17:40,24 / 164 / 181,,00:00,0,24 / 1 / 1,,00:00,00:00,24 / 1 / 1,11:22:38
25,179,196,Mike Farrer,M,40,1242,11:26:04,17:45,25 / 179 / 196,,00:00,0,25 / 1 / 1,,00:00,00:00,25 / 1 / 1,11:26:04
26,182,199,Edward Oliver,M,40,1019,11:27:53,17:48,26 / 182 / 199,,00:00,0,26 / 1 / 1,,00:00,00:00,26 / 1 / 1,11:27:53
27,188,208,Ian Patterson,M,40,1064,11:31:07,17:53,28 / 188 / 208,,00:00,0,28 / 1 / 1,,00:00,00:00,28 / 1 / 1,11:31:07
28,198,218,Howard Davis,M,40,1052,11:34:27,17:58,29 / 198 / 218,,00:00,0,29 / 1 / 1,,00:00,00:00,29 / 1 / 1,11:34:27
29,206,226,Jeremy Preston-j,M,40,1053,11:35:32,18:00,30 / 206 / 226,,00:00,0,30 / 1 / 1,,00:00,00:00,30 / 1 / 1,11:35:32
30,208,228,Paul Barclay,M,40,1061,11:35:50,18:01,31 / 208 / 228,,00:00,0,31 / 1 / 1,,00:00,00:00,31 / 1 / 1,11:35:50
31,215,237,Jean-marc Pommer,M,40,1125,11:37:41,18:03,32 / 215 / 237,,00:00,0,32 / 1 / 1,,00:00,00:00,32 / 1 / 1,11:37:41
32,224,246,Gavin Markgraaff,M,40,1173,11:39:22,18:06,33 / 224 / 246,,00:00,0,33 / 1 / 1,,00:00,00:00,33 / 1 / 1,11:39:22
33,227,249,Kelvin Borland,M,40,1196,11:40:26,18:08,34 / 227 / 249,,00:00,0,34 / 1 / 1,,00:00,00:00,34 / 1 / 1,11:40:26
34,234,256,Nicolaas Michel,M,40,1122,11:40:55,18:08,35 / 234 / 256,,00:00,0,35 / 1 / 1,,00:00,00:00,35 / 1 / 1,11:40:55
35,238,260,Adrian De Luca,M,40,1031,11:42:03,18:10,36 / 238 / 260,,00:00,0,36 / 1 / 1,,00:00,00:00,36 / 1 / 1,11:42:03
36,250,274,Adrian Clarke,M,40,1169,11:45:49,18:16,37 / 250 / 274,,00:00,0,37 / 1 / 1,,00:00,00:00,37 / 1 / 1,11:45:49
37,251,276,Andre Kleynhans,M,40,1181,11:46:09,18:17,38 / 251 / 276,,00:00,0,38 / 1 / 1,,00:00,00:00,38 / 1 / 1,11:46:09
38,256,281,Russell Hall,M,40,1093,11:46:32,18:17,39 / 256 / 281,,00:00,0,39 / 1 / 1,,00:00,00:00,39 / 1 / 1,11:46:32
39,269,295,Mike Barber,M,40,1047,11:47:48,18:19,40 / 269 / 295,,00:00,0,40 / 1 / 1,,00:00,00:00,40 / 1 / 1,11:47:48
40,271,297,David John Dawso,M,40,1221,11:48:05,18:20,41 / 271 / 297,,00:00,0,41 / 1 / 1,,00:00,00:00,41 / 1 / 1,11:48:05
41,275,301,Alejandro Perez,M,40,1020,11:49:02,18:21,42 / 275 / 301,,00:00,0,42 / 1 / 1,,00:00,00:00,42 / 1 / 1,11:49:02
42,278,304,Stuart Connacher,M,40,1018,11:49:26,18:22,43 / 278 / 304,,00:00,0,43 / 1 / 1,,00:00,00:00,43 / 1 / 1,11:49:26
43,283,309,Dries Du Toit,M,40,1164,11:50:20,18:23,44 / 283 / 309,,00:00,0,44 / 1 / 1,,00:00,00:00,44 / 1 / 1,11:50:20
44,284,310,Thomas Van Heerd,M,40,1024,11:50:32,18:23,45 / 284 / 310,,00:00,0,45 / 1 / 1,,00:00,00:00,45 / 1 / 1,11:50:32
45,288,314,Richard Webster,M,40,1021,11:51:00,18:24,46 / 288 / 314,,00:00,0,46 / 1 / 1,,00:00,00:00,46 / 1 / 1,11:51:00
46,290,316,Richard Payne,M,40,1097,11:51:47,18:25,47 / 290 / 316,,00:00,0,47 / 1 / 1,,00:00,00:00,47 / 1 / 1,11:51:47
47,293,319,Andre Pepler,M,40,1201,11:52:05,18:26,48 / 293 / 319,,00:00,0,48 / 1 / 1,,00:00,00:00,48 / 1 / 1,11:52:05
48,304,333,Paul Gripper,M,40,1180,11:54:54,18:30,50 / 304 / 333,,00:00,0,50 / 1 / 1,,00:00,00:00,50 / 1 / 1,11:54:54
49,307,336,Craig Harwood,M,40,1137,11:55:06,18:30,51 / 307 / 336,,00:00,0,51 / 1 / 1,,00:00,00:00,51 / 1 / 1,11:55:06
50,309,338,Graeme King,M,40,1220,11:55:11,18:31,52 / 309 / 338,,00:00,0,52 / 1 / 1,,00:00,00:00,52 / 1 / 1,11:55:11
51,313,342,Harald Kreipl,M,40,1227,11:55:38,18:31,53 / 313 / 342,,00:00,0,53 / 1 / 1,,00:00,00:00,53 / 1 / 1,11:55:38
52,314,343,Toni Loria,M,40,1058,11:55:46,18:32,54 / 314 / 343,,00:00,0,54 / 1 / 1,,00:00,00:00,54 / 1 / 1,11:55:46
53,323,352,Anthony Church,M,40,1189,11:56:32,18:33,55 / 323 / 352,,00:00,0,55 / 1 / 1,,00:00,00:00,55 / 1 / 1,11:56:32
54,325,354,Brett King,M,40,1040,11:56:39,18:33,56 / 325 / 354,,00:00,0,56 / 1 / 1,,00:00,00:00,56 / 1 / 1,11:56:39
55,333,362,Avi Hyeem,M,40,1226,11:57:48,18:35,57 / 333 / 362,,00:00,0,57 / 1 / 1,,00:00,00:00,57 / 1 / 1,11:57:48
56,344,376,Martial Marmin,M,40,1062,12:00:28,18:39,58 / 344 / 376,,00:00,0,58 / 1 / 1,,00:00,00:00,58 / 1 / 1,12:00:28
57,346,378,Hayden Dowdall,M,40,1081,12:01:02,18:40,59 / 346 / 378,,00:00,0,59 / 1 / 1,,00:00,00:00,59 / 1 / 1,12:01:02
58,359,393,Gideon Redelingh,M,40,1159,12:03:35,18:44,60 / 359 / 393,,00:00,0,60 / 1 / 1,,00:00,00:00,60 / 1 / 1,12:03:35
59,360,394,Garth Botha,M,40,1101,12:03:58,18:44,61 / 360 / 394,,00:00,0,61 / 1 / 1,,00:00,00:00,61 / 1 / 1,12:03:58
59,360,395,Allen Nicholson,M,40,1034,12:03:58,18:44,62 / 360 / 394,,00:00,0,62 / 1 / 1,,00:00,00:00,62 / 1 / 1,12:03:58
61,362,396,Matthaus Meier,M,40,1048,12:04:04,18:44,63 / 362 / 396,,00:00,0,63 / 1 / 1,,00:00,00:00,63 / 1 / 1,12:04:04
62,365,399,Neil Anderson,M,40,1050,12:05:22,18:46,64 / 365 / 399,,00:00,0,64 / 1 / 1,,00:00,00:00,64 / 1 / 1,12:05:22
63,375,411,Andrew Walsh,M,40,1151,12:10:13,18:54,65 / 375 / 410,,00:00,0,65 / 1 / 1,,00:00,00:00,65 / 1 / 1,12:10:13
