A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,27,28,Evan Jones,M,44,1056,1:06:44,01:43,6 / 73 / 81,,5:28:20,20.47,2 / 38 / 39,,3:22:40,07:43,1 / 25 / 26,9:57:44
2,41,43,Mariano Decarli,M,44,1031,1:02:53,01:37,2 / 38 / 40,,5:36:10,19.99,3 / 53 / 55,,3:32:16,08:05,3 / 44 / 48,10:11:19
3,82,88,Jack De Kort,M,44,868,59:02,01:31,1 / 22 / 23,,5:50:33,19.17,6 / 109 / 114,,4:01:43,09:13,12 / 171 / 186,10:51:18
4,83,89,Rassie Smit,M,44,1085,1:12:41,01:52,15 / 168 / 186,,5:56:46,18.84,9 / 141 / 148,,3:42:21,08:28,5 / 72 / 78,10:51:48
5,90,96,Steve Amos,M,41,833,1:24:10,02:10,47 / 423 / 468,,6:06:15,18.35,18 / 196 / 206,,3:23:37,07:45,2 / 29 / 30,10:54:02
6,108,114,Adrian Morris,M,44,1065,1:20:21,02:04,35 / 343 / 380,,5:59:39,18.68,12 / 155 / 163,,3:40:09,08:23,4 / 60 / 66,11:00:09
7,137,145,Giorgio Alberti,M,44,1190,1:15:47,01:57,23 / 242 / 270,,5:51:45,19.1,7 / 117 / 122,,4:07:14,09:25,15 / 199 / 219,11:14:46
8,140,150,Emil Hougaard,M,41,897,1:07:43,01:45,8 / 90 / 100,,6:11:14,18.1,23 / 227 / 238,,3:57:10,09:02,9 / 141 / 152,11:16:07
9,143,153,Mark Kapnoudhis,M,44,904,1:21:34,02:06,38 / 367 / 407,,6:01:42,18.58,14 / 171 / 179,,3:53:54,08:55,7 / 129 / 139,11:17:10
10,147,157,Darwin Phyfer,M,44,1070,1:18:36,02:02,32 / 312 / 349,,5:45:27,19.45,4 / 82 / 86,,4:14:43,09:42,22 / 246 / 273,11:18:46
11,168,180,Karsten Wellner,M,44,40,1:26:00,02:13,53 / 476 / 529,,5:53:04,19.03,8 / 121 / 127,,4:11:33,09:35,19 / 223 / 246,11:30:37
12,170,182,Johann Seyffert,M,44,1083,1:17:34,02:00,27 / 283 / 314,,5:59:15,18.71,10 / 151 / 159,,4:14:17,09:41,21 / 243 / 269,11:31:06
13,171,183,Paddy Murphy,M,44,936,1:05:16,01:41,4 / 59 / 65,,5:48:20,19.29,5 / 97 / 102,,4:38:46,10:37,49 / 398 / 456,11:32:22
14,185,199,Gellie Bibis,M,41,840,1:10:01,01:48,11 / 133 / 148,,6:10:59,18.11,22 / 225 / 236,,4:14:05,09:41,20 / 240 / 265,11:35:05
15,194,208,Roger Oakley,M,44,1067,1:12:47,01:53,16 / 171 / 189,,6:24:00,17.5,36 / 324 / 339,,4:00:26,09:10,11 / 163 / 178,11:37:13
16,198,212,Graham Coull,M,40,861,1:13:21,01:53,19 / 182 / 203,,6:05:30,18.39,16 / 189 / 199,,4:18:50,09:52,30 / 274 / 305,11:37:41
17,199,213,Pierre-yves Jeanrenaud,M,44,1054,1:13:01,01:53,17 / 176 / 195,,6:07:20,18.29,19 / 202 / 212,,4:17:28,09:49,27 / 262 / 291,11:37:49
18,200,214,Matthaus Meier,M,41,933,1:15:38,01:57,22 / 238 / 265,,6:13:42,17.98,26 / 247 / 258,,4:08:58,09:29,17 / 208 / 229,11:38:18
19,205,219,Kevin Gillmer,M,44,1047,1:08:55,01:47,10 / 112 / 124,,6:23:13,17.54,34 / 320 / 335,,4:07:47,09:27,16 / 202 / 222,11:39:55
20,213,227,Francois Strauss,M,41,968,1:23:00,02:08,42 / 399 / 440,,6:00:21,18.65,13 / 163 / 171,,4:18:57,09:52,31 / 276 / 307,11:42:18
21,218,232,Holger Poppendieck,M,41,945,1:32:35,02:23,72 / 586 / 658,,6:16:53,17.83,31 / 276 / 288,,3:53:13,08:53,6 / 126 / 135,11:42:41
22,235,250,Anton Fourie,M,41,37,1:13:42,01:54,20 / 187 / 209,,6:23:21,17.53,35 / 321 / 336,,4:11:30,09:35,18 / 222 / 245,11:48:33
23,239,254,Gilles Fontaine,M,44,1042,1:17:47,02:00,28 / 287 / 319,,6:05:41,18.38,17 / 192 / 202,,4:25:53,10:08,38 / 319 / 359,11:49:21
24,241,257,Paul Holt,M,44,1050,1:22:52,02:08,41 / 392 / 433,,5:59:25,18.7,11 / 153 / 161,,4:27:45,10:12,40 / 328 / 371,11:50:02
25,244,260,Lindsay Williams,M,43,997,1:24:48,02:11,50 / 441 / 489,,6:28:43,17.29,39 / 367 / 386,,3:57:36,09:03,10 / 144 / 156,11:51:07
26,247,263,Andre Pepler,M,41,940,1:18:16,02:01,29 / 303 / 339,,6:29:11,17.27,40 / 370 / 391,,4:04:32,09:19,13 / 188 / 206,11:51:59
27,266,283,Alexander Wayde Pringle,M,41,946,1:30:17,02:20,67 / 553 / 615,,6:11:18,18.1,24 / 228 / 239,,4:15:53,09:45,25 / 253 / 280,11:57:28
28,278,296,Gary Roscoe,M,44,1077,1:23:49,02:10,46 / 417 / 460,,6:12:32,18.04,25 / 239 / 250,,4:23:59,10:04,36 / 307 / 344,12:00:20
29,283,301,Cliff Wallace,M,44,1103,1:06:46,01:43,7 / 74 / 83,,6:32:04,17.14,43 / 395 / 420,,4:24:10,10:04,37 / 310 / 347,12:03:00
30,294,313,Gerry Hoffmann,M,44,1049,1:41:33,02:37,85 / 689 / 783,,6:10:08,18.16,21 / 220 / 230,,4:14:54,09:43,23 / 247 / 274,12:06:35
31,301,323,Michael Hughes,M,40,681,1:34:21,02:26,73 / 600 / 676,,6:19:32,17.71,32 / 294 / 307,,4:15:37,09:44,24 / 252 / 279,12:09:30
32,305,327,Roger Hooke,M,44,1051,1:13:21,01:53,18 / 182 / 203,,6:04:48,18.42,15 / 185 / 195,,4:52:17,11:08,62 / 478 / 552,12:10:26
33,311,333,Glenn Fisher,M,44,1040,1:21:12,02:06,37 / 358 / 397,,6:28:20,17.3,38 / 363 / 382,,4:22:38,10:00,33 / 302 / 337,12:12:10
34,317,340,Mark Palfreeman,M,44,1068,1:11:57,01:51,14 / 158 / 175,,6:14:36,17.94,27 / 252 / 263,,4:48:36,11:00,58 / 460 / 526,12:15:09
35,328,352,Timothy Gendall,M,44,1046,1:31:41,02:22,70 / 575 / 644,,6:29:32,17.25,41 / 375 / 396,,4:18:09,09:50,29 / 267 / 296,12:19:22
36,333,357,Kenneth Mccrindle,M,44,1062,1:38:05,02:32,82 / 655 / 744,,6:24:21,17.48,37 / 327 / 343,,4:17:51,09:50,28 / 264 / 293,12:20:17
37,337,363,Bradley Joubert,M,44,903,1:13:54,01:54,21 / 196 / 218,,6:43:46,16.64,54 / 465 / 500,,4:23:53,10:03,35 / 305 / 342,12:21:33
