A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,23,26,Riccardo Bucci,M,40,543,56:35,01:27,3 / 21 / 23,03:09,5:18:05,21.13,2 / 31 / 33,02:16,3:44:36,08:33,6 / 60 / 66,10:04:41
2,32,35,Andrew Gowans,M,40,578,1:07:12,01:44,9 / 101 / 112,03:05,5:20:41,20.96,4 / 37 / 39,03:04,3:41:48,08:27,4 / 52 / 56,10:15:50
3,40,44,Steve Amos,M,40,530,1:30:10,02:20,82 / 489 / 552,04:41,5:29:44,20.38,6 / 57 / 61,01:56,3:16:42,07:30,1 / 9 / 9,10:23:13
4,51,56,Hugh BASEL,M,40,532,57:51,01:29,4 / 28 / 30,04:50,5:19:44,21.02,3 / 32 / 34,05:01,4:06:16,09:23,22 / 148 / 163,10:33:42
5,55,60,Luis Alvarez,M,40,529,1:10:54,01:50,21 / 166 / 184,07:02,5:29:42,20.38,5 / 56 / 60,06:51,3:40:35,08:24,3 / 49 / 53,10:35:04
6,65,70,Michael Wagner,M,40,666,1:30:20,02:20,83 / 493 / 556,04:44,5:02:00,22.25,1 / 14 / 15,02:58,4:02:12,09:14,18 / 127 / 140,10:42:14
7,76,82,Jack (Jackie) De Kort,M,40,560,53:59,01:23,1 / 9 / 10,05:03,5:52:42,19.05,15 / 156 / 168,03:21,3:55:19,08:58,9 / 86 / 96,10:50:24
8,78,84,Yorck Wurms,M,40,674,1:07:43,01:45,10 / 106 / 119,03:25,5:32:19,20.22,7 / 68 / 72,01:55,4:05:37,09:22,21 / 145 / 160,10:50:59
9,79,87,Emil Hougaard,M,40,591,1:02:41,01:37,6 / 50 / 54,04:29,5:51:49,19.1,14 / 150 / 162,03:09,3:49:55,08:46,7 / 73 / 81,10:52:03
10,86,95,Graham Thompson,M,40,651,56:24,01:27,2 / 19 / 21,05:47,5:36:07,19.99,8 / 83 / 89,03:06,4:14:15,09:41,27 / 179 / 200,10:55:39
11,93,102,Timothy POPE,M,40,629,1:08:33,01:46,14 / 119 / 135,04:32,5:41:48,19.66,9 / 108 / 115,03:17,3:59:38,09:08,15 / 112 / 123,10:57:48
12,107,118,Alun JONES,M,40,595,1:08:48,01:46,15 / 124 / 140,06:19,5:47:17,19.35,12 / 128 / 137,05:58,3:58:32,09:05,14 / 103 / 113,11:06:54
13,114,125,Andre De Beer,M,40,558,1:15:41,01:57,41 / 278 / 310,07:12,5:46:11,19.41,11 / 125 / 134,06:17,3:57:10,09:02,10 / 95 / 105,11:12:31
14,122,133,Andre Pepler,M,40,626,1:15:09,01:56,39 / 263 / 294,05:58,5:54:05,18.98,17 / 163 / 176,03:12,3:57:47,09:04,12 / 98 / 108,11:16:11
15,136,148,Stefan Fischer,M,40,570,1:19:22,02:03,49 / 341 / 382,04:02,6:01:26,18.59,26 / 216 / 233,04:02,3:53:54,08:55,8 / 81 / 91,11:22:46
16,137,149,Riccardo Rosselli,M,40,639,1:13:22,01:53,33 / 225 / 252,04:43,5:45:15,19.46,10 / 118 / 127,02:32,4:17:33,09:49,31 / 198 / 221,11:23:25
17,142,155,Francis Toujouse,M,40,652,1:25:19,02:12,64 / 422 / 470,05:17,5:57:05,18.82,20 / 182 / 198,03:18,3:57:52,09:04,13 / 99 / 109,11:28:51
18,150,165,Christopher Mortimer,M,40,617,1:02:23,01:36,5 / 47 / 51,06:48,6:19:09,17.72,43 / 323 / 344,06:24,3:57:37,09:03,11 / 96 / 106,11:32:21
19,157,173,Russell Scott,M,40,643,1:14:01,01:54,35 / 236 / 264,04:43,6:02:12,18.55,28 / 225 / 242,03:01,4:10:46,09:33,26 / 166 / 184,11:34:43
20,162,178,Darrell WICHT,M,40,671,1:25:53,02:13,68 / 427 / 476,08:58,6:29:49,17.24,59 / 389 / 422,07:25,3:24:03,07:46,2 / 18 / 21,11:36:08
21,180,200,Mark Nicholls,M,40,621,1:14:46,01:56,38 / 256 / 287,06:41,6:08:07,18.26,31 / 254 / 273,07:26,4:08:59,09:29,24 / 157 / 174,11:45:59
22,181,201,Carlos Hartmann,M,40,585,1:14:41,01:56,36 / 252 / 283,07:45,5:58:04,18.77,22 / 189 / 205,06:02,4:19:49,09:54,35 / 210 / 235,11:46:21
23,197,218,Etienne Olivier,M,40,624,1:26:31,02:14,74 / 444 / 499,11:26,5:47:19,19.35,13 / 129 / 138,10:00,4:14:59,09:43,28 / 183 / 204,11:50:15
24,200,221,Erik Coppens,M,40,552,1:19:59,02:04,53 / 353 / 396,05:52,6:01:44,18.58,27 / 219 / 236,06:54,4:16:21,09:46,29 / 190 / 212,11:50:50
25,205,227,Thomas Dreher,M,40,561,1:18:21,02:01,46 / 324 / 365,04:34,5:58:44,18.73,23 / 193 / 209,05:37,4:24:34,10:05,39 / 230 / 259,11:51:50
26,223,247,J?gen Richers,M,40,631,1:21:52,02:07,57 / 383 / 427,04:34,6:20:30,17.66,44 / 334 / 357,05:52,4:04:20,09:19,20 / 137 / 152,11:57:08
27,229,253,Victor McLoughlin,M,40,613,1:12:13,01:52,30 / 198 / 221,09:50,5:55:07,18.92,18 / 170 / 184,08:56,4:35:23,10:30,43 / 289 / 331,12:01:29
28,231,255,Craig Weyer,M,40,670,1:10:13,01:49,18 / 147 / 164,06:42,5:57:22,18.8,21 / 185 / 201,06:21,4:40:59,10:42,51 / 317 / 361,12:01:37
29,235,259,Wilhelm Griesel,M,40,581,1:27:05,02:15,75 / 449 / 505,07:47,6:00:14,18.65,25 / 201 / 218,07:24,4:20:55,09:57,37 / 214 / 241,12:03:25
30,237,261,Kevin Gillmer,M,40,576,1:07:52,01:45,11 / 112 / 125,08:11,6:14:59,17.92,39 / 296 / 316,08:55,4:27:05,10:11,40 / 242 / 272,12:07:02
31,244,269,Anton Fourie,M,40,571,1:11:08,01:50,24 / 171 / 190,06:27,6:28:30,17.3,55 / 379 / 410,05:21,4:17:50,09:50,33 / 201 / 225,12:09:16
32,254,279,Alec Riddle,M,40,633,1:05:53,01:42,7 / 88 / 98,04:31,6:13:16,18,36 / 280 / 300,09:32,4:41:01,10:43,52 / 318 / 362,12:14:13
33,255,280,Alan CAMPBELL,M,40,545,1:21:16,02:06,55 / 373 / 416,05:54,6:34:17,17.04,63 / 410 / 447,11:49,4:00:59,09:11,17 / 119 / 130,12:14:15
34,257,283,Richard Lemmer,M,40,604,1:11:09,01:50,25 / 174 / 193,06:52,6:03:57,18.46,29 / 230 / 248,04:16,4:49:48,11:03,61 / 352 / 400,12:16:02
35,267,294,Andr?de Villiers Hugo,M,40,592,1:22:27,02:08,59 / 386 / 431,06:01,6:11:49,18.07,32 / 270 / 290,04:44,4:36:33,10:32,45 / 296 / 338,12:21:34
36,275,302,Grant Cowen,M,40,553,1:11:39,01:51,28 / 185 / 208,06:44,6:12:20,18.05,34 / 275 / 295,05:59,4:45:29,10:53,56 / 332 / 379,12:22:11
37,279,306,StPShane Vleeshouwer,M,40,663,1:30:07,02:20,81 / 488 / 551,10:33,5:59:39,18.68,24 / 196 / 212,09:58,4:34:40,10:28,42 / 284 / 325,12:24:57
38,283,310,Pieta Booyens,M,40,537,1:28:41,02:17,79 / 474 / 536,05:23,6:30:15,17.22,60 / 393 / 426,04:18,4:17:37,09:49,32 / 199 / 222,12:26:14
39,289,317,Colin Williamson,M,40,672,1:11:04,01:50,22 / 169 / 188,08:10,6:12:58,18.02,35 / 277 / 297,04:43,4:50:14,11:04,62 / 355 / 403,12:27:09
40,291,319,Wayne Bolton,M,40,536,1:11:24,01:50,27 / 181 / 202,07:26,6:54:42,16.2,73 / 484 / 532,05:38,4:08:16,09:28,23 / 156 / 172,12:27:26
