A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
33,228,248,Jose LEAL,M,40,1142,1:09:32,01:48,72 / 434 / 476,03:55,5:33:31,20.15,45 / 259 / 278,03:15,4:10:06,09:32,46 / 239 / 274,11:00:19
34,229,250,Jean-Yves COOLEN,M,40,1124,1:05:36,01:41,43 / 289 / 318,02:53,5:01:23,22.3,3 / 39 / 39,02:44,4:48:05,10:59,131 / 601 / 701,11:00:41
35,230,251,Alan CARRINGTON,M,40,977,1:02:54,01:37,22 / 203 / 225,04:28,5:38:07,19.87,53 / 312 / 334,03:32,4:11:46,09:36,50 / 253 / 294,11:00:47
36,236,259,Brent WILLIAMSON,M,40,1016,1:07:15,01:44,53 / 340 / 374,03:34,5:33:17,20.16,42 / 254 / 273,03:38,4:15:04,09:44,59 / 285 / 330,11:02:48
37,238,261,Brian GOODBRAND,M,40,1018,1:02:32,01:37,17 / 186 / 206,06:22,5:32:02,20.24,40 / 243 / 259,03:28,4:18:50,09:52,64 / 324 / 380,11:03:14
38,240,263,Diederik AMPE,M,40,1050,1:03:15,01:38,26 / 223 / 246,07:16,5:09:58,21.68,14 / 72 / 74,05:07,4:39:19,10:39,110 / 509 / 598,11:04:55
39,241,265,Craig HARWOOD,M,40,1040,1:02:36,01:37,18 / 188 / 208,04:34,5:44:53,19.48,80 / 402 / 431,02:34,4:11:29,09:35,48 / 252 / 290,11:06:06
40,246,270,Mark LEMMON,M,40,1182,1:10:07,01:48,77 / 458 / 501,06:31,5:42:21,19.63,67 / 368 / 394,05:01,4:03:13,09:16,29 / 194 / 219,11:07:13
41,252,276,Brian KERBY,M,40,1019,1:13:05,01:53,108 / 617 / 680,06:53,5:30:15,20.35,36 / 222 / 236,06:15,4:12:16,09:37,52 / 260 / 302,11:08:44
42,254,279,Craig WEST,M,40,1041,1:15:43,01:57,136 / 744 / 836,11:39,5:47:40,19.33,88 / 442 / 474,06:44,3:47:16,08:40,16 / 101 / 115,11:09:02
43,257,283,Kurt ALDERWEIRELDT,M,40,1154,1:11:04,01:50,88 / 524 / 574,05:00,5:31:11,20.29,39 / 232 / 248,03:23,4:19:30,09:54,66 / 330 / 389,11:10:08
44,259,285,Roderick GILSON,M,40,1219,1:10:03,01:48,75 / 453 / 496,05:25,5:42:23,19.63,68 / 369 / 395,05:08,4:07:16,09:26,36 / 218 / 247,11:10:15
45,267,294,Andrew BRADFORD,M,40,991,1:02:57,01:37,23 / 204 / 226,07:27,5:36:43,19.96,48 / 292 / 312,04:44,4:20:50,09:57,70 / 343 / 403,11:12:41
46,277,306,Quentin FOSTER,M,40,1210,1:03:37,01:38,29 / 231 / 255,03:35,5:19:49,21.01,25 / 134 / 141,02:38,4:44:37,10:51,118 / 561 / 657,11:14:16
47,288,318,Deon BASSON,M,40,1047,1:14:48,01:56,120 / 692 / 775,04:43,5:43:45,19.55,74 / 389 / 416,04:45,4:09:19,09:30,43 / 234 / 269,11:17:20
48,297,328,Stephen GLYNN,M,40,1236,1:02:48,01:37,21 / 200 / 222,05:21,5:38:53,19.83,55 / 321 / 343,03:48,4:28:06,10:13,85 / 409 / 478,11:18:56
49,298,329,Chris Loker,M,40,1031,1:02:42,01:37,20 / 193 / 213,06:59,5:56:31,18.85,112 / 570 / 610,05:59,4:06:58,09:25,34 / 216 / 245,11:19:09
50,301,332,Henry WOLSTENHOLME,M,40,1105,1:12:08,01:52,98 / 571 / 626,08:15,6:02:32,18.54,131 / 644 / 699,06:02,3:50:45,08:48,17 / 118 / 136,11:19:42
51,312,346,Grant WOLFF,M,40,1092,1:06:53,01:43,52 / 335 / 369,04:40,6:08:25,18.24,149 / 703 / 775,07:37,3:55:26,08:59,22 / 152 / 172,11:23:01
52,326,360,Jean LEMUE,M,40,1123,1:15:54,01:57,140 / 747 / 843,03:30,5:20:33,20.96,27 / 140 / 148,03:08,4:43:14,10:48,115 / 542 / 635,11:26:19
53,332,367,Andrew VAN DEN HEEVER,M,40,993,59:35,01:32,5 / 93 / 103,04:53,5:48:05,19.31,90 / 447 / 479,05:56,4:28:58,10:15,88 / 418 / 489,11:27:27
54,342,377,Bernie STOPFORTH,M,40,1009,1:25:01,02:12,206 / 1016 / 1173,10:17,5:37:32,19.91,51 / 305 / 325,06:23,4:09:50,09:32,44 / 236 / 271,11:29:03
55,351,388,Braydon ETTER,M,40,1013,1:08:18,01:46,61 / 378 / 416,08:17,5:38:11,19.87,54 / 314 / 336,06:38,4:29:21,10:16,90 / 422 / 494,11:30:45
56,356,393,Jurie BOTHA,M,40,1144,1:22:53,02:08,188 / 975 / 1115,06:40,5:54:57,18.93,107 / 541 / 580,06:47,4:01:14,09:12,26 / 185 / 208,11:32:31
57,363,400,Jonti DANIEL,M,40,1141,1:15:28,01:57,128 / 721 / 811,06:32,5:44:27,19.51,77 / 399 / 428,05:08,4:22:38,10:01,75 / 360 / 424,11:34:13
58,364,402,Chris KOCH,M,40,1030,1:16:12,01:58,145 / 761 / 860,06:36,5:59:25,18.7,119 / 605 / 650,02:34,4:09:50,09:32,45 / 236 / 271,11:34:37
59,366,404,Renato DE OLIVEIRA CAMPOS,M,40,543,1:00:09,01:33,7 / 111 / 122,04:49,5:39:12,19.81,59 / 324 / 348,04:14,4:46:45,10:56,129 / 590 / 690,11:35:09
60,368,406,Carel VAN NIEKERK,M,40,1022,1:03:04,01:37,24 / 210 / 232,09:31,5:26:08,20.61,34 / 186 / 198,07:55,4:48:59,11:01,133 / 614 / 715,11:35:37
61,374,412,Heinrich CROUS,M,40,1098,1:17:18,02:00,150 / 795 / 899,04:14,5:48:34,19.28,91 / 451 / 485,03:09,4:23:01,10:02,76 / 363 / 427,11:36:16
62,378,418,Luigi AMATO,M,40,1168,1:11:52,01:51,95 / 558 / 609,05:02,5:41:59,19.65,66 / 362 / 388,04:53,4:33:39,10:26,96 / 462 / 539,11:37:25
63,383,426,David HIRST,M,40,1045,1:14:06,01:55,117 / 663 / 741,05:30,5:47:03,19.36,87 / 432 / 463,06:05,4:26:05,10:09,82 / 391 / 459,11:38:49
64,391,437,Joe Carter,M,40,1130,1:17:24,02:00,152 / 799 / 903,05:39,5:30:44,20.32,38 / 228 / 244,04:39,4:41:31,10:44,114 / 524 / 616,11:39:57
65,397,444,Schalk ENGELBRECHT,M,40,1224,1:11:33,01:51,92 / 548 / 599,06:18,5:43:37,19.56,72 / 386 / 413,04:30,4:34:58,10:29,98 / 475 / 554,11:40:56
66,406,455,Andrew STUART,M,40,992,1:19:14,02:03,163 / 865 / 983,15:57,6:17:59,17.78,170 / 803 / 895,08:27,3:41:17,08:26,8 / 71 / 81,11:42:54
67,408,457,Andy MCAUGHEY,M,40,995,1:18:13,02:01,158 / 821 / 930,07:39,6:00:26,18.64,123 / 623 / 673,04:52,4:11:48,09:36,51 / 255 / 296,11:42:58
68,411,460,Hermann HERTEL,M,40,1107,1:12:12,01:52,100 / 575 / 631,06:01,5:33:41,20.14,46 / 260 / 279,05:39,4:45:46,10:54,121 / 578 / 676,11:43:19
69,414,464,Gary STEPHENSON,M,40,1075,1:09:28,01:47,71 / 431 / 473,05:27,5:40:24,19.74,62 / 340 / 365,08:20,4:40:01,10:41,112 / 514 / 603,11:43:40
70,420,470,Ya'kov VAN ZYL,M,40,1264,1:15:32,01:57,132 / 729 / 820,09:00,6:06:25,18.34,143 / 685 / 748,06:13,4:07:27,09:26,37 / 221 / 250,11:44:37
71,445,499,Anton COETZEE,M,40,1001,1:00:55,01:34,11 / 133 / 148,09:57,5:51:46,19.1,101 / 495 / 532,07:27,4:39:12,10:39,109 / 507 / 595,11:49:17
72,449,503,Stef HENNOP,M,40,1234,1:00:21,01:33,8 / 119 / 130,07:41,5:37:08,19.93,50 / 303 / 323,04:57,4:59:31,11:25,151 / 699 / 820,11:49:38
