A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
273,1282,1594,Fumio Sato,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,15:27:03
274,1283,1595,Marcelo Oshea,M,40,-,2:04:06,03:12,284 / 1353 / 1721,,7:48:08,14.35,280 / 1331 / 1675,,5:21:33,12:16,209 / 970 / 1201,15:27:08
275,1292,1613,Daniel Peffley,M,40,-,1:32:05,02:23,185 / 881 / 1074,,6:42:51,16.68,211 / 989 / 1192,,6:47:17,15:32,279 / 1317 / 1668,15:31:27
276,1294,1615,Alfredo Nu?z,M,40,-,1:33:29,02:25,194 / 926 / 1134,,6:01:00,18.61,123 / 531 / 596,,7:47:01,17:49,285 / 1354 / 1717,15:31:50
277,1296,1620,Hector Arroyo,M,40,-,1:34:05,02:26,198 / 945 / 1160,,7:13:01,15.52,253 / 1202 / 1475,,6:36:12,15:07,274 / 1301 / 1646,15:32:59
278,1298,1622,Gerson Sanchez Galindo,M,40,-,1:27:30,02:15,155 / 750 / 917,,7:06:15,15.77,243 / 1162 / 1422,,6:48:03,15:34,280 / 1320 / 1672,15:33:52
279,1322,1659,Thomas Reeber,M,40,-,1:18:51,02:02,93 / 476 / 578,,7:13:35,15.5,255 / 1206 / 1481,,6:45:55,15:29,277 / 1314 / 1665,15:46:14
280,1324,1661,Jose Antonio Postigo Uribe,M,40,-,1:50:13,02:51,257 / 1233 / 1556,,7:13:21,15.51,254 / 1204 / 1478,,6:22:24,14:35,267 / 1261 / 1592,15:47:20
281,1333,1673,Jose Antonio Garcia Infante,M,40,-,1:21:13,02:06,106 / 546 / 665,,7:39:42,14.62,275 / 1314 / 1645,,6:33:20,15:00,273 / 1296 / 1638,15:52:20
282,1334,1674,Jerry Layne,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,15:52:52
283,1336,1680,Kyle Ocasek,M,40,-,1:40:03,02:35,226 / 1090 / 1356,,7:09:26,15.65,250 / 1183 / 1448,,6:46:40,15:31,278 / 1316 / 1667,15:54:41
284,1338,1683,Johan Wessels,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,15:56:53
285,1348,1698,Juan Jose Gonzalez,M,40,-,1:33:29,02:25,194 / 926 / 1134,,7:48:08,14.35,280 / 1331 / 1675,,6:05:05,13:56,255 / 1211 / 1521,16:03:09
286,1353,1705,Chris Torsleff,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,16:05:43
287,1360,1717,Vasilis Toxavidis,M,40,-,2:07:52,03:18,291 / 1371 / 1743,,7:19:06,15.3,263 / 1236 / 1523,,6:19:06,14:28,265 / 1253 / 1580,16:10:58
288,1361,1718,Paul Slobodny,M,40,-,2:08:19,03:19,292 / 1375 / 1748,,7:41:46,14.55,276 / 1318 / 1655,,6:05:36,13:57,257 / 1214 / 1525,16:11:27
289,1366,1725,Maxwell Da Rocha,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,16:13:20
290,1369,1732,Wenceslao Gonzalez Ramos,M,40,-,1:37:16,02:31,221 / 1047 / 1290,,8:28:32,13.21,285 / 1358 / 1724,,5:56:25,13:36,252 / 1172 / 1468,16:15:56
291,1371,1734,Pedro Cajun Torres,M,40,-,2:14:53,03:29,295 / 1393 / 1773,,7:13:49,15.49,256 / 1207 / 1483,,6:18:02,14:25,264 / 1251 / 1577,16:16:19
292,1374,1739,Luis Rafael Montanaro,M,40,-,2:04:59,03:14,285 / 1355 / 1724,,7:45:47,14.43,278 / 1326 / 1667,,6:04:03,13:53,254 / 1201 / 1509,16:18:33
293,1387,1755,Brian Peko,M,40,-,1:54:40,02:58,265 / 1290 / 1630,,7:26:20,15.06,269 / 1271 / 1578,,6:45:27,15:28,276 / 1313 / 1664,16:26:52
294,1388,1756,Michael Blankenship,M,40,-,2:01:43,03:09,280 / 1345 / 1709,,7:15:55,15.42,260 / 1220 / 1503,,6:51:31,15:42,282 / 1324 / 1676,16:27:03
295,1391,1762,David Adan,M,40,-,1:54:45,02:58,266 / 1292 / 1632,,7:39:02,14.64,274 / 1313 / 1643,,6:24:23,14:40,269 / 1269 / 1601,16:32:21
296,1398,1771,Mike Herb,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,16:37:32
297,1400,1776,Hector Jimenez,M,40,-,1:50:57,02:52,260 / 1243 / 1568,,7:50:29,14.28,282 / 1338 / 1686,,6:31:43,14:57,270 / 1288 / 1628,16:38:49
298,1405,1784,Sean Lewandowski,M,40,-,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,16:45:23
