A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,17,17,Priglinger Thomas,M,40,1666,00:00,00:00,1 / 1 / 1,,00:00,0,1 / 1 / 1,,00:00,00:00,1 / 1 / 1,8:58:05
2,23,24,Topan Renato Luiz,M,40,1381,00:00,00:00,2 / 1 / 1,,00:00,0,2 / 1 / 1,,00:00,00:00,2 / 1 / 1,9:09:18
3,44,46,Mcmahon Wayne David,M,40,584,00:00,00:00,3 / 1 / 1,,00:00,0,3 / 1 / 1,,00:00,00:00,3 / 1 / 1,9:26:29
4,53,56,Capune William,M,40,1417,00:00,00:00,4 / 1 / 1,,00:00,0,4 / 1 / 1,,00:00,00:00,4 / 1 / 1,9:29:01
5,60,63,Schwarze Stephan,M,40,532,00:00,00:00,5 / 1 / 1,,00:00,0,5 / 1 / 1,,00:00,00:00,5 / 1 / 1,9:35:46
6,68,71,Hebe Mike,M,40,1574,00:00,00:00,6 / 1 / 1,,00:00,0,6 / 1 / 1,,00:00,00:00,6 / 1 / 1,9:40:58
7,70,73,Leon Alejandro Pedro,M,40,530,00:00,00:00,7 / 1 / 1,,00:00,0,7 / 1 / 1,,00:00,00:00,7 / 1 / 1,9:41:04
8,72,75,Conde Edgardo Sergio,M,40,2303,00:00,00:00,8 / 1 / 1,,00:00,0,8 / 1 / 1,,00:00,00:00,8 / 1 / 1,9:42:46
9,80,84,Macmahon Ted,M,40,1444,00:00,00:00,9 / 1 / 1,,00:00,0,9 / 1 / 1,,00:00,00:00,9 / 1 / 1,9:46:11
10,96,101,Jeff Bennett,M,40,2160,00:00,00:00,10 / 1 / 1,,00:00,0,10 / 1 / 1,,00:00,00:00,10 / 1 / 1,9:55:43
11,97,102,Ziegler Matthias,M,40,1664,00:00,00:00,11 / 1 / 1,,00:00,0,11 / 1 / 1,,00:00,00:00,11 / 1 / 1,9:55:56
12,102,107,Villena Eric,M,40,1551,00:00,00:00,12 / 1 / 1,,00:00,0,12 / 1 / 1,,00:00,00:00,12 / 1 / 1,9:57:40
13,109,114,Salazar Randall,M,40,301,00:00,00:00,13 / 1 / 1,,00:00,0,13 / 1 / 1,,00:00,00:00,13 / 1 / 1,10:02:01
14,111,116,Canevaro Juan-pablo,M,40,1907,00:00,00:00,14 / 1 / 1,,00:00,0,14 / 1 / 1,,00:00,00:00,14 / 1 / 1,10:02:24
15,128,138,Zimmerman Jay Gary,M,40,1082,00:00,00:00,15 / 1 / 1,,00:00,0,15 / 1 / 1,,00:00,00:00,15 / 1 / 1,10:08:58
16,145,159,Sullivan Don,M,40,2288,00:00,00:00,77 / 1 / 1,,00:00,0,77 / 1 / 1,,00:00,00:00,77 / 1 / 1,10:13:50
17,150,164,Hagen Wenzek,M,40,1345,00:00,00:00,76 / 1 / 1,,00:00,0,76 / 1 / 1,,00:00,00:00,76 / 1 / 1,10:15:59
18,174,191,Smith Erik Bruce,M,40,2189,00:00,00:00,75 / 1 / 1,,00:00,0,75 / 1 / 1,,00:00,00:00,75 / 1 / 1,10:25:23
19,180,197,Day Darrell,M,40,1422,00:00,00:00,74 / 1 / 1,,00:00,0,74 / 1 / 1,,00:00,00:00,74 / 1 / 1,10:27:20
20,181,198,Del Rio Alfredo Jesus,M,40,340,00:00,00:00,73 / 1 / 1,,00:00,0,73 / 1 / 1,,00:00,00:00,73 / 1 / 1,10:27:37
21,183,201,Geering Philipp,M,40,1783,00:00,00:00,72 / 1 / 1,,00:00,0,72 / 1 / 1,,00:00,00:00,72 / 1 / 1,10:28:22
22,186,204,Riesco O Ricardo,M,40,1756,00:00,00:00,71 / 1 / 1,,00:00,0,71 / 1 / 1,,00:00,00:00,71 / 1 / 1,10:30:42
23,190,209,Della Mattia A Gato,M,40,2270,00:00,00:00,70 / 1 / 1,,00:00,0,70 / 1 / 1,,00:00,00:00,70 / 1 / 1,10:32:01
24,199,221,Toscani Andrea,M,40,149,00:00,00:00,69 / 1 / 1,,00:00,0,69 / 1 / 1,,00:00,00:00,69 / 1 / 1,10:35:13
25,202,225,Giorchino Roberto Mauro,M,40,2274,00:00,00:00,68 / 1 / 1,,00:00,0,68 / 1 / 1,,00:00,00:00,68 / 1 / 1,10:37:02
26,206,230,Flegaric Frank,M,40,1676,00:00,00:00,67 / 1 / 1,,00:00,0,67 / 1 / 1,,00:00,00:00,67 / 1 / 1,10:38:10
27,227,254,Darren Rentch,M,40,1101,00:00,00:00,66 / 1 / 1,,00:00,0,66 / 1 / 1,,00:00,00:00,66 / 1 / 1,10:44:44
28,228,256,Jean-yves Frison,M,40,279,00:00,00:00,65 / 1 / 1,,00:00,0,65 / 1 / 1,,00:00,00:00,65 / 1 / 1,10:45:44
