A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,25,29,Dave Kyle,M,40,856,51:59,01:20,22 / 81 / 111,03:59,5:01:27,22.29,14 / 14 / 14,03:02,3:43:14,08:31,22 / 50 / 61,9:43:41
2,27,32,Private,M,40,1022,00:00,00:00,1 / 1 / 1,00:00,00:00,0,1 / 1 / 1,00:00,00:00,00:00,1 / 1 / 1,9:49:02
3,28,33,Nelson Richard Stoutner,M,40,1500,1:00:05,01:33,71 / 306 / 374,04:07,5:19:24,21.04,17 / 37 / 41,03:58,3:24:02,07:47,15 / 22 / 25,9:51:36
4,31,36,Maldonado Ricardo Probert,M,40,1928,49:39,01:17,18 / 52 / 76,03:27,5:18:07,21.12,16 / 33 / 37,04:00,3:40:14,08:24,19 / 42 / 52,9:55:27
5,45,52,Mark Sortino,M,40,989,00:00,00:00,2 / 1 / 1,00:00,00:00,0,2 / 1 / 1,00:00,00:00,00:00,2 / 1 / 1,10:11:51
6,46,53,Jeffrey Kenneth Collins,M,40,705,52:43,01:21,24 / 96 / 127,03:15,5:15:12,21.32,15 / 27 / 29,01:00,4:01:11,09:12,34 / 108 / 124,10:13:21
7,51,58,David Millwee,M,40,1084,54:48,01:25,36 / 143 / 182,03:33,5:21:33,20.9,18 / 40 / 45,02:16,3:57:30,09:03,30 / 96 / 110,10:19:40
8,52,59,Jason Michael Chang,M,40,377,1:05:58,01:42,127 / 538 / 649,05:17,5:39:14,19.81,27 / 96 / 105,02:26,3:27:41,07:55,16 / 29 / 33,10:20:36
9,53,60,Mendez Jose Gregorio Negron,M,40,60,58:12,01:30,51 / 227 / 279,03:44,5:36:43,19.96,25 / 81 / 90,03:31,3:38:30,08:20,18 / 38 / 47,10:20:40
10,63,73,Robles Pablo Vazquez,M,40,592,47:37,01:13,15 / 43 / 66,06:21,5:28:20,20.47,21 / 62 / 69,02:51,4:01:28,09:12,36 / 111 / 127,10:26:37
11,66,76,Joseba Zuzaeta,M,40,995,59:16,01:32,63 / 273 / 336,06:23,5:41:34,19.67,32 / 111 / 121,06:06,3:37:16,08:17,17 / 35 / 43,10:30:35
12,74,84,Jan Kriska,M,40,696,00:00,00:00,4 / 1 / 1,00:00,00:00,0,4 / 1 / 1,00:00,00:00,00:00,4 / 1 / 1,10:36:05
13,79,90,Martinez German Silva,M,40,1911,1:02:49,01:37,89 / 420 / 504,05:23,6:15:46,17.88,99 / 395 / 446,04:30,3:12:16,07:20,14 / 12 / 13,10:40:44
14,82,93,Estrada Humberto Jimenez,M,40,1234,50:30,01:18,20 / 69 / 96,03:29,5:39:58,19.77,28 / 102 / 111,01:25,4:08:22,09:28,44 / 138 / 158,10:43:44
15,88,99,Hernandez Benjamin Belmont,M,40,1343,54:48,01:25,35 / 143 / 182,03:34,5:53:46,19,48 / 189 / 205,01:45,3:52:03,08:51,25 / 77 / 89,10:45:56
16,95,107,Cliff Hesson,M,40,1807,53:57,01:23,29 / 118 / 153,03:55,5:35:01,20.06,24 / 75 / 84,03:43,4:15:00,09:43,55 / 172 / 199,10:51:36
17,97,109,Medina Arturo Rodriguez,M,40,1286,52:47,01:22,27 / 100 / 131,07:33,5:21:59,20.87,19 / 42 / 47,01:50,4:27:49,10:13,80 / 259 / 307,10:51:58
18,109,121,Carlos Galvao,M,40,1852,51:51,01:20,21 / 77 / 107,06:21,5:43:30,19.56,35 / 121 / 131,04:27,4:08:59,09:30,46 / 140 / 161,10:55:08
19,116,129,Eric Fernando,M,40,1847,47:34,01:13,14 / 42 / 65,02:50,5:30:40,20.32,22 / 66 / 74,01:39,4:35:17,10:30,100 / 313 / 372,10:58:00
20,117,130,Frank Broadstreet,M,40,1144,1:03:08,01:38,92 / 429 / 513,07:55,6:02:15,18.55,61 / 262 / 289,02:55,3:41:52,08:28,20 / 48 / 58,10:58:05
21,118,131,Quemada Gonzalo Magallon,M,40,473,1:03:07,01:38,91 / 428 / 512,03:22,5:27:17,20.53,20 / 55 / 61,02:21,4:22:22,10:00,68 / 213 / 251,10:58:29
22,122,136,Lapiedra Santiago Pacheco,M,40,1489,49:28,01:16,17 / 50 / 74,04:52,5:38:37,19.85,26 / 91 / 100,02:42,4:23:51,10:04,71 / 227 / 269,10:59:30
23,125,140,Arnaud Winter,M,40,1696,1:03:51,01:39,104 / 449 / 540,05:59,5:33:12,20.17,23 / 69 / 77,04:17,4:13:37,09:40,52 / 164 / 191,11:00:56
24,127,142,Scott Geffre,M,40,854,59:31,01:32,65 / 281 / 345,05:14,5:43:27,19.57,34 / 120 / 130,01:16,4:11:58,09:37,48 / 156 / 180,11:01:26
25,131,146,Torres Jean-louis Brunet,M,40,306,1:01:57,01:36,81 / 388 / 470,05:11,5:52:19,19.07,45 / 179 / 194,03:51,4:01:11,09:12,33 / 108 / 124,11:04:29
26,132,147,Escoto Felipe Basich,M,40,504,55:32,01:26,38 / 159 / 198,04:44,5:46:51,19.37,38 / 138 / 150,03:00,4:15:06,09:44,56 / 174 / 201,11:05:13
27,133,149,Robert Michael Benedict,M,40,1549,1:04:12,01:39,106 / 468 / 562,04:21,5:47:06,19.36,39 / 140 / 152,03:14,4:07:56,09:27,43 / 135 / 153,11:06:49
28,142,158,Mauricio Sanchez,M,40,1517,57:22,01:29,47 / 211 / 260,05:11,6:06:41,18.33,75 / 300 / 334,04:57,3:57:00,09:02,29 / 95 / 108,11:11:11
29,146,163,Roman Alejandro Olivares,M,40,407,1:04:15,01:39,107 / 472 / 567,04:32,5:59:37,18.69,60 / 249 / 272,02:21,4:02:49,09:16,39 / 118 / 134,11:13:34
