A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,36,38,CHRIS MORGESON,M,43,944,1:02:44,01:37,17 / 160 / 192,04:36,4:54:37,22.81,1 / 32 / 32,02:41,3:34:31,08:11,2 / 45 / 51,9:39:09
2,46,52,Myles Gaulin,M,44,390,1:11:15,01:50,81 / 469 / 558,04:51,5:08:07,21.81,7 / 64 / 65,02:36,3:25:50,07:51,1 / 29 / 33,9:52:39
3,54,60,Anthony Carillo,M,44,1355,1:07:52,01:45,56 / 328 / 381,07:28,5:00:39,22.35,2 / 41 / 42,02:53,3:43:36,08:32,5 / 69 / 80,10:02:28
4,60,66,David Strom,M,44,1652,58:46,01:31,7 / 81 / 98,06:40,5:11:34,21.57,9 / 75 / 76,01:59,3:48:09,08:42,7 / 81 / 95,10:07:08
5,73,81,Greg Kolodziejzyk,M,44,391,1:14:31,01:55,107 / 621 / 746,05:00,5:03:42,22.13,3 / 50 / 51,01:45,3:50:21,08:47,10 / 88 / 103,10:15:19
6,76,84,Maxwell Thomas,M,42,1519,1:03:05,01:38,20 / 169 / 201,03:55,5:09:40,21.7,8 / 68 / 69,02:21,3:56:53,09:02,19 / 110 / 135,10:15:54
7,77,85,Wolfgang Schmidt,M,43,1302,1:19:39,02:03,150 / 817 / 1009,05:17,5:05:53,21.97,6 / 57 / 58,02:32,3:42:38,08:29,4 / 65 / 76,10:15:59
8,81,90,Carlos Mendoza,M,40,211,1:11:02,01:50,78 / 460 / 545,06:50,5:16:55,21.2,14 / 103 / 107,04:10,3:38:23,08:20,3 / 52 / 60,10:17:20
9,86,95,Jean-luc Boulanger,M,44,1977,1:01:20,01:35,12 / 127 / 152,04:35,5:21:13,20.92,23 / 139 / 146,03:44,3:49:44,08:46,9 / 86 / 101,10:20:36
10,91,100,Luis Alvarez,M,42,2065,1:06:30,01:43,38 / 267 / 313,07:07,5:18:59,21.07,18 / 121 / 128,03:45,3:47:49,08:41,6 / 79 / 93,10:24:10
11,95,104,Pierre Letourneau,M,41,1033,1:06:37,01:43,40 / 276 / 322,05:00,5:05:11,22.02,4 / 52 / 53,02:58,4:06:18,09:24,27 / 157 / 191,10:26:04
12,102,113,John Potter,M,42,363,56:51,01:28,3 / 57 / 69,03:42,5:18:12,21.12,17 / 115 / 122,01:57,4:08:56,09:30,31 / 171 / 208,10:29:38
13,105,117,tony dragan,M,40,694,55:39,01:26,2 / 46 / 55,03:56,5:19:53,21.01,19 / 130 / 137,02:59,4:08:03,09:28,29 / 162 / 198,10:30:30
14,108,120,Rich Kiser,M,43,808,1:07:36,01:45,52 / 319 / 372,05:14,5:24:03,20.74,27 / 162 / 175,04:30,3:51:18,08:49,12 / 91 / 106,10:32:41
15,118,132,Chad Bustos,M,42,980,1:04:08,01:39,27 / 200 / 234,04:40,5:33:51,20.13,43 / 237 / 262,05:45,3:48:53,08:44,8 / 84 / 99,10:37:17
16,123,140,Stephen TAYLOR,M,40,341,1:10:28,01:49,75 / 442 / 525,06:22,5:28:14,20.47,37 / 197 / 214,05:01,3:51:11,08:49,11 / 89 / 104,10:41:16
17,129,146,Billy Oliver,M,44,2108,1:03:22,01:38,21 / 175 / 208,04:08,5:36:45,19.96,52 / 268 / 296,04:26,3:53:52,08:55,14 / 97 / 115,10:42:33
18,138,159,Jim Koehn,M,41,1607,1:06:38,01:43,41 / 277 / 323,07:39,5:20:40,20.96,20 / 134 / 141,05:25,4:05:59,09:23,26 / 155 / 189,10:46:21
19,154,175,James Dugan,M,40,1235,1:08:52,01:46,64 / 366 / 425,06:34,5:33:56,20.12,44 / 239 / 264,03:14,4:00:47,09:11,23 / 128 / 159,10:53:23
20,157,179,Alex Fomenko,M,41,340,58:48,01:31,8 / 82 / 99,04:14,5:26:19,20.59,31 / 180 / 193,03:29,4:21:00,09:57,46 / 245 / 303,10:53:50
21,161,184,JULIAN SYMONDS,M,41,1172,1:09:14,01:47,70 / 394 / 458,06:28,5:17:05,21.19,15 / 105 / 110,04:17,4:17:18,09:49,40 / 218 / 270,10:54:22
22,162,185,Tony Adams,M,41,427,1:14:46,01:56,109 / 636 / 764,05:55,5:27:02,20.55,34 / 185 / 200,04:09,4:02:42,09:15,25 / 140 / 173,10:54:34
23,169,193,Colin Thomas,M,43,1750,1:06:30,01:43,37 / 267 / 313,07:17,5:41:12,19.7,61 / 313 / 347,04:36,3:58:14,09:05,20 / 119 / 145,10:57:49
24,170,194,Ed York,M,43,2055,1:11:46,01:51,88 / 510 / 607,06:24,5:14:42,21.35,10 / 91 / 92,04:33,4:20:41,09:56,43 / 242 / 300,10:58:06
25,173,197,Darin Marlow,M,41,286,1:09:03,01:47,69 / 384 / 447,10:33,5:41:06,19.7,60 / 311 / 345,07:14,3:54:27,08:56,15 / 99 / 117,11:02:23
26,176,200,Carlos Nunez,M,40,132,1:08:59,01:47,67 / 380 / 440,04:50,5:17:49,21.14,16 / 109 / 115,03:17,4:28:03,10:13,55 / 290 / 361,11:02:58
27,186,218,SEAN BRANNON,M,42,1073,1:07:43,01:45,55 / 324 / 377,06:18,5:21:00,20.93,22 / 138 / 145,05:17,4:29:57,10:18,57 / 306 / 382,11:10:15
28,190,224,Bob Ballentine,M,44,1035,1:12:47,01:53,93 / 543 / 656,05:20,5:40:25,19.74,58 / 305 / 339,03:44,4:08:32,09:29,30 / 168 / 204,11:10:48
29,194,229,Ronald Wally,M,44,717,1:02:49,01:37,18 / 161 / 193,05:24,5:43:27,19.57,66 / 335 / 376,02:19,4:17:34,09:49,41 / 220 / 272,11:11:33
30,196,231,Michael Gorman,M,41,386,53:37,01:23,1 / 31 / 36,03:24,5:25:50,20.62,30 / 176 / 189,01:56,4:47:08,10:57,87 / 422 / 530,11:11:55
31,199,235,Jerry Pittman,M,43,865,1:16:12,01:58,122 / 683 / 829,05:55,5:45:18,19.46,71 / 359 / 403,02:41,4:02:10,09:14,24 / 137 / 170,11:12:16
32,200,236,Justin Lutick,M,40,1108,1:24:03,02:10,188 / 966 / 1213,07:18,5:15:52,21.27,12 / 94 / 96,06:48,4:18:31,09:52,42 / 226 / 278,11:12:32
33,202,239,Kevin Jokisch,M,41,1694,1:10:33,01:49,76 / 445 / 528,09:40,5:31:15,20.29,42 / 218 / 240,05:52,4:15:53,09:46,37 / 207 / 257,11:13:13
34,213,250,Greg Ausley,M,40,1273,1:07:30,01:44,50 / 312 / 363,06:40,5:40:38,19.73,59 / 309 / 343,05:49,4:16:46,09:48,39 / 212 / 264,11:17:23
35,214,251,STEFAN FISCHER,M,41,971,1:11:43,01:51,87 / 507 / 603,04:56,5:36:24,19.98,51 / 263 / 291,04:03,4:20:49,09:57,44 / 243 / 301,11:17:55
36,215,252,KIM TORGERSON,M,41,2019,57:48,01:29,5 / 70 / 84,05:00,5:23:19,20.78,25 / 154 / 164,03:24,4:48:29,11:00,89 / 438 / 548,11:18:00
37,217,254,Andrew Klein,M,41,1510,1:05:01,01:41,31 / 223 / 264,05:20,5:36:18,19.98,50 / 261 / 288,04:16,4:27:12,10:11,53 / 284 / 355,11:18:07
38,218,256,Graham Traylor,M,42,1096,1:19:42,02:03,151 / 820 / 1012,06:25,5:25:28,20.65,28 / 171 / 184,05:26,4:22:21,10:00,49 / 254 / 312,11:19:22
39,222,260,Timothy Ward,M,41,682,1:04:00,01:39,26 / 196 / 230,04:07,5:05:49,21.97,5 / 56 / 57,02:50,5:03:26,11:34,125 / 575 / 726,11:20:12
40,228,270,Kim Mcelligott,M,41,2053,1:18:59,02:02,145 / 798 / 984,06:30,5:26:31,20.58,33 / 182 / 195,06:11,4:24:08,10:04,51 / 267 / 328,11:22:19
41,231,273,Jeffrey Warwick,M,41,1138,58:15,01:30,6 / 76 / 92,08:06,5:37:21,19.92,54 / 272 / 301,06:52,4:32:12,10:23,62 / 326 / 404,11:22:46
42,232,274,Scott Christie,M,40,684,1:07:27,01:44,48 / 309 / 359,08:32,5:48:18,19.29,80 / 403 / 456,04:54,4:13:37,09:40,35 / 195 / 242,11:22:48
