A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,28,31,David Jones,M,40,1470,1:06:11,01:42,59 / 325 / 377,04:25,5:06:24,21.93,1 / 24 / 24,02:33,3:28:39,07:57,3 / 37 / 42,9:48:12
2,30,33,Paul Meade,M,40,89,1:01:46,01:35,27 / 145 / 173,04:34,5:10:40,21.63,2 / 33 / 33,01:51,3:30:37,08:02,5 / 48 / 53,9:49:28
3,34,37,Mark Prinzel,M,40,1454,1:09:00,01:47,103 / 479 / 551,04:33,5:22:16,20.85,10 / 82 / 85,02:41,3:12:44,07:21,1 / 14 / 14,9:51:14
4,53,56,Keish Doi,M,40,1247,1:05:47,01:42,52 / 299 / 351,04:38,5:27:57,20.49,19 / 123 / 129,04:39,3:19:04,07:35,2 / 20 / 21,10:02:05
5,58,61,Martin Hagmann,M,40,1317,1:07:10,01:44,71 / 368 / 423,05:43,5:11:06,21.6,3 / 36 / 36,03:29,3:37:40,08:18,10 / 76 / 81,10:05:08
6,61,64,Oliver Martin,M,40,1307,1:08:36,01:46,94 / 459 / 526,04:10,5:21:53,20.88,8 / 78 / 81,01:35,3:30:38,08:02,6 / 49 / 54,10:06:52
7,69,72,Scott Gower,M,40,1441,57:37,01:29,9 / 70 / 83,04:12,5:20:15,20.98,7 / 69 / 70,02:27,3:47:05,08:40,21 / 115 / 123,10:11:36
8,70,73,Gary Bushey,M,40,1529,1:00:13,01:33,21 / 115 / 139,04:03,5:28:40,20.45,21 / 130 / 136,02:10,3:36:32,08:15,9 / 71 / 76,10:11:38
9,74,78,Jim Ryan,M,40,1459,1:07:09,01:44,70 / 367 / 422,04:54,5:31:00,20.3,28 / 149 / 156,02:03,3:29:23,07:59,4 / 42 / 47,10:14:29
10,78,84,Nader Massoumi,M,40,1512,1:05:23,01:41,49 / 274 / 323,04:38,5:30:04,20.36,25 / 143 / 149,02:56,3:34:23,08:10,8 / 62 / 67,10:17:24
11,82,90,Philippe MARTIN,M,40,1305,1:07:56,01:45,85 / 423 / 482,07:46,5:22:43,20.82,12 / 87 / 90,03:28,3:38:00,08:19,11 / 78 / 83,10:19:53
12,83,91,Kevin Neal,M,40,1555,1:04:17,01:39,41 / 233 / 273,05:11,5:27:05,20.55,18 / 116 / 122,03:24,3:41:21,08:26,14 / 93 / 100,10:21:18
13,85,93,Jeffrey Rhodes,M,40,1224,1:06:10,01:42,58 / 324 / 376,05:02,5:24:05,20.74,13 / 94 / 99,02:44,3:43:28,08:31,17 / 100 / 107,10:21:29
14,87,95,Anthony Carillo,M,40,1490,1:13:17,01:53,138 / 669 / 777,06:28,5:15:42,21.29,4 / 51 / 51,03:36,3:43:21,08:31,16 / 99 / 106,10:22:24
