A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,21,22,Kevin Dessart,M,40,1164,59:11,01:31,11 / 75 / 92,03:45,4:52:36,22.97,4 / 32 / 32,01:44,3:13:18,07:22,2 / 26 / 29,9:10:33
2,30,32,Mark Brooker,M,40,1223,57:33,01:29,7 / 50 / 61,04:41,4:40:42,23.94,1 / 11 / 11,01:45,3:33:25,08:08,29 / 109 / 123,9:18:04
3,32,35,Bryan Dunn,M,40,1178,1:01:42,01:35,27 / 135 / 165,04:39,4:51:30,23.05,2 / 30 / 30,01:02,3:21:24,07:41,9 / 48 / 53,9:20:14
4,40,44,CARMEN MONKS,M,40,1469,1:04:18,01:39,46 / 217 / 256,04:45,4:58:53,22.48,8 / 56 / 57,02:23,3:17:03,07:31,5 / 35 / 40,9:27:20
5,42,46,Renato Dirks,M,40,1519,1:06:22,01:43,83 / 312 / 365,05:08,4:55:16,22.76,6 / 40 / 40,01:29,3:19:54,07:37,6 / 41 / 46,9:28:08
6,43,47,Randy Work,M,40,1305,59:13,01:31,12 / 76 / 94,03:48,5:03:44,22.12,18 / 98 / 100,02:04,3:20:13,07:38,7 / 43 / 48,9:29:00
7,46,50,Erik Guldhav,M,40,1159,1:01:04,01:34,22 / 114 / 140,04:14,5:00:41,22.35,11 / 69 / 70,01:38,3:22:02,07:42,10 / 51 / 56,9:29:38
8,47,51,Keish Doi,M,40,1389,1:06:53,01:43,90 / 332 / 388,04:12,5:01:48,22.27,13 / 81 / 83,01:00,3:16:00,07:28,4 / 31 / 35,9:29:51
9,59,65,Jerald Cook,M,40,1184,1:04:19,01:39,48 / 219 / 258,03:54,4:55:44,22.72,7 / 45 / 45,:49,3:28:53,07:58,18 / 83 / 91,9:33:38
10,64,70,Mark Pietrofesa,M,40,1407,55:10,01:25,2 / 25 / 31,04:27,5:02:11,22.24,16 / 89 / 91,03:27,3:30:28,08:01,22 / 92 / 102,9:35:41
11,67,73,ANTHONY BARTON,M,40,2899,57:38,01:29,9 / 52 / 64,03:47,5:06:33,21.92,25 / 126 / 134,01:38,3:27:24,07:54,16 / 73 / 81,9:36:58
