A,G,O,Athelete,M/F,Age,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
1,20,22,Troy Jacobson,M,40,1108,1:01:31,01:35,29 / 147 / 180,05:13,4:56:46,22.64,2 / 40 / 41,02:57,2:59:56,06:52,1 / 8 / 9,9:06:23
2,30,34,Sean Lewis,M,40,1334,1:05:37,01:41,57 / 269 / 328,05:14,4:51:42,23.04,1 / 27 / 28,01:17,3:13:31,07:23,2 / 24 / 30,9:17:21
3,48,57,Jim Atkinson,M,40,1008,59:53,01:33,17 / 103 / 125,04:31,5:07:09,21.88,8 / 74 / 82,01:23,3:19:46,07:37,3 / 40 / 49,9:32:42
4,56,66,Scot Carr,M,40,1114,1:03:21,01:38,40 / 192 / 240,04:03,5:06:24,21.93,7 / 71 / 78,02:45,3:22:16,07:43,5 / 49 / 58,9:38:49
5,65,75,Oguz Omur,M,40,1310,56:08,01:27,3 / 42 / 46,03:51,5:11:36,21.57,10 / 91 / 101,01:11,3:33:39,08:09,12 / 98 / 113,9:46:25
6,73,83,Kimo Seymour,M,40,1220,1:01:40,01:35,32 / 152 / 188,05:10,5:00:38,22.35,3 / 49 / 53,01:08,3:40:42,08:25,19 / 132 / 151,9:49:18
7,76,87,Christophe Joly,M,40,1217,1:11:17,01:50,109 / 505 / 613,04:25,5:06:23,21.93,6 / 70 / 77,01:59,3:28:34,07:57,8 / 77 / 88,9:52:38
8,81,92,Dan Beaver,M,40,1283,1:05:10,01:41,52 / 251 / 307,06:12,5:22:48,20.82,26 / 157 / 170,01:50,3:19:59,07:37,4 / 41 / 50,9:55:59
9,94,105,Dean Discher,M,40,1270,1:10:45,01:49,103 / 487 / 592,06:01,5:00:54,22.33,4 / 50 / 54,01:49,3:41:20,08:26,20 / 135 / 154,10:00:49
10,96,107,Steffen Brocks,M,40,1305,1:02:57,01:37,38 / 183 / 227,05:02,5:16:55,21.2,16 / 113 / 126,01:30,3:35:44,08:14,15 / 109 / 127,10:02:08
11,99,110,TODD MELLINGER,M,40,1338,1:00:42,01:34,21 / 121 / 149,03:51,5:13:26,21.44,11 / 96 / 107,03:20,3:42:29,08:29,22 / 138 / 159,10:03:48
12,114,128,Private,M,40,989,1:07:12,01:44,72 / 330 / 405,06:09,5:24:35,20.7,31 / 174 / 190,05:29,3:29:18,07:59,9 / 81 / 92,10:12:43
13,119,133,Jose Pena,M,40,1153,1:18:07,02:01,214 / 838 / 1043,04:23,5:16:04,21.26,15 / 110 / 122,02:01,3:34:32,08:11,13 / 100 / 117,10:15:07
14,122,138,Doug Soho,M,40,1137,1:03:22,01:38,41 / 193 / 241,04:48,5:22:31,20.84,25 / 156 / 169,01:22,3:45:32,08:36,23 / 152 / 177,10:17:35
15,123,139,Tom Murphy,M,40,1363,1:19:17,02:03,234 / 903 / 1127,04:35,5:13:50,21.41,12 / 97 / 108,02:56,3:37:49,08:18,17 / 122 / 140,10:18:27
16,131,148,Justin Drummond,M,40,1088,1:05:52,01:42,60 / 279 / 340,05:26,5:17:16,21.18,18 / 116 / 129,03:31,3:49:18,08:45,29 / 176 / 210,10:21:23
17,132,149,Steve Behler,M,40,1390,1:07:53,01:45,81 / 368 / 448,05:38,5:38:29,19.85,61 / 305 / 334,01:48,3:27:48,07:55,7 / 73 / 84,10:21:36
18,133,150,Shane Zindel,M,40,998,1:19:01,02:02,231 / 892 / 1109,05:38,5:20:57,20.94,22 / 142 / 155,03:58,3:32:10,08:05,10 / 94 / 106,10:21:44
19,143,162,Joe Van De Water,M,40,1332,1:01:51,01:36,33 / 159 / 195,06:28,5:39:29,19.79,65 / 314 / 343,02:42,3:34:44,08:11,14 / 102 / 119,10:25:14
