A,G,O,Athelete,M/F,A2,Bib,Swim_Time,Swim_Pace,Swim_A_G_O,Time,Cycle_time,Cycle_speed,Cycle_a_g_o,Time_2,Run_time,Run_pace,Run_a_g_o,Final
6,33,34,Steeve Carpentier,M,40,627,28:25,01:28,16 / 84 / 112,02:00,2:18:29,24.26,7 / 39 / 39,01:50,1:30:29,06:54,10 / 47 / 50,4:21:12
2,34,35,Frederic Boivin,M,20,2314,29:59,01:33,11 / 142 / 190,02:15,2:17:54,24.37,2 / 36 / 36,02:05,1:29:20,06:49,3 / 42 / 43,4:21:31
7,35,36,Kelly Williamson,M,40,932,29:02,01:30,24 / 105 / 139,02:27,2:15:41,24.76,5 / 21 / 21,01:55,1:32:44,07:04,12 / 59 / 64,4:21:47
1,36,37,Eric Schrading,M,45,2055,29:08,01:30,10 / 106 / 141,01:53,2:22:35,23.57,11 / 91 / 92,01:46,1:26:28,06:36,1 / 24 / 24,4:21:49
16,37,38,Mark Bowstead,Pro,--,29,23:12,01:12,2 / 3 / 3,01:20,2:15:23,24.82,10 / 20 / 20,01:42,1:40:14,07:39,27 / 121 / 142,4:21:49
1,38,39,Ken-Ichi Hino,M,25,2396,27:11,01:24,8 / 54 / 65,01:49,2:19:45,24.04,3 / 58 / 59,02:01,1:31:20,06:58,4 / 54 / 58,4:22:04
8,39,40,Sean Robbins,M,40,844,29:10,01:30,25 / 108 / 143,01:52,2:22:32,23.57,23 / 89 / 90,01:42,1:26:56,06:38,5 / 29 / 30,4:22:10
2,40,41,Eric Hodska,M,45,1964,27:47,01:26,5 / 69 / 91,01:56,2:17:16,24.48,2 / 30 / 30,01:53,1:33:30,07:08,5 / 68 / 73,4:22:20
7,41,42,Aaron Church,M,35,1046,32:15,01:40,64 / 271 / 352,02:29,2:24:02,23.33,18 / 113 / 116,02:34,1:21:09,06:11,1 / 8 / 8,4:22:27
2,2,43,Margaret Shapiro,Pro,--,12,25:32,01:19,15 / 3 / 23,01:15,2:24:56,23.18,21 / 5 / 132,01:25,1:29:32,06:50,14 / 2 / 46,4:22:38
